Date,Close,High,Low,Open,Volume,XC,SQ,TF,NI,AT,OD,EP,XL,YP,CC,PD,AK,BQ,YJ,LG,GR,KK,BR
2026-07-13,3790.0,3800.0,3690.0,3690.0,10200,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0,-0.0004,0.0,0.0091,0.0038,0.0,0.0,-0.0049,-0.0125,0.0,-0.0008,0.0049
2026-07-14,3800.0,3950.0,3790.0,3800.0,63900,0.0004,0.0,0.0,0.0011,0.0,0.2251,0.0054,0.0068,0.0,-0.0034,0.0004,-0.0053,0.0,-0.2274,-0.0046,0.0019,-0.0004,0.0
2026-07-15,3790.0,3890.0,3790.0,3800.0,75000,0.0019,-0.0004,0.0,0.0004,0.0019,0.2115,0.0004,0.042,-0.0008,-0.014,0.0,-0.0779,0.0008,-0.1344,-0.0324,0.0011,0.0,0.0
2026-07-16,3780.0,3870.0,3780.0,3790.0,17200,-0.0212,0.0,0.0,0.0,0.0,0.0438,0.0,-0.0252,0.0,0.0019,0.0004,0.0012,-0.0008,0.0,0.0,0.0,0.0,0.0
2026-07-17,3840.0,4000.0,3760.0,3780.0,9600,-0.0004,-0.0,-0.0008,-0.0,-0.0004,-0.0058,0.0004,0.0271,-0.0005,-0.0235,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,3800.0,3890.0,3790.0,3890.0,6500,,,,,,,,,,,,,,,,,,
2026-07-21,3780.0,3850.0,3690.0,3850.0,79800,,,,,,,,,,,,,,,,,,
2026-07-22,3750.0,3780.0,3750.0,3780.0,24600,,,,,,,,,,,,,,,,,,
2026-07-23,3760.0,3790.0,3710.0,3760.0,9300,,,,,,,,,,,,,,,,,,
2026-07-24,3700.0,3750.0,3700.0,3750.0,17000,,,,,,,,,,,,,,,,,,
