Date,Close,High,Low,Open,Volume,XC,SQ,MG,YU,XA,NI,OK,KI,OD,EP,XL,CC,PD,CD,KK,DH,RO,AZ,AK,YP
2026-07-13,2010.0,2010.0,1980.0,1995.0,21100,0.0087,-0.0014,0.0,0.0,0.0,0.0018,0.014,0.0002,0.0062,0.0,-0.0169,-0.0064,-0.0002,0.0,0.0,-0.0002,0.0,0.0,0.0,-0.0058
2026-07-14,2010.0,2010.0,1970.0,2000.0,23900,0.0012,0.0016,0.0,0.0,0.0,0.0002,0.019,0.0006,0.01,0.0,0.0044,-0.0277,-0.0008,-0.0086,-0.0,0.0,0.0002,0.0,0.0,0.0
2026-07-15,1995.0,2010.0,1970.0,2010.0,28600,0.0026,-0.0036,0.0,0.0,0.0,0.0,0.009,0.0,0.0006,0.0,0.0045,0.0064,0.0004,-0.0062,-0.0041,0.0,0.0,-0.0008,-0.0008,-0.008
2026-07-16,1995.0,2010.0,1995.0,1995.0,32200,-0.001,-0.0406,0.0,0.0,0.0,0.0002,0.02,0.0,0.0,0.0,0.0096,0.0204,0.0006,-0.0082,-0.002,0.0004,0.0006,0.0,0.0,0.0
2026-07-17,1995.0,2000.0,1980.0,1995.0,25200,0.0173,0.006,0.001,-0.0078,0.0002,-0.0004,0.002,0.0002,0.0004,-0.001,-0.015,-0.002,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1995.0,2010.0,1975.0,2000.0,170000,,,,,,,,,,,,,,,,,,,,
2026-07-21,2010.0,2010.0,1980.0,2010.0,51800,,,,,,,,,,,,,,,,,,,,
2026-07-22,2000.0,2010.0,1980.0,2010.0,29500,,,,,,,,,,,,,,,,,,,,
2026-07-23,2000.0,2010.0,1975.0,2000.0,54100,,,,,,,,,,,,,,,,,,,,
2026-07-24,1990.0,2000.0,1975.0,1995.0,27200,,,,,,,,,,,,,,,,,,,,
