Date,Close,High,Low,Open,Volume,XC,SQ,YJ,QA,LG,XA,KK,CP,ZP,AT,KI,OD,DX,EP,XL,RB,DH,YP,CC,MG,YB,BQ,IF,NI,IN,CD,PD,DR,YU,AZ,BK,AI,SF,FS,GR,HP,EL,RO,RS
2026-07-13,83.0,92.0,81.0,85.0,11301500,0.0245,0.0009,0.0817,0.0,-0.0012,0.0,-0.0329,-0.0512,0.0,0.0002,0.0,0.0316,0.0,0.0001,-0.0627,-0.0001,0.0008,0.0199,-0.0507,0.1245,0.0164,-0.0136,0.0,-0.0525,0.0,0.0,0.0013,0.0039,0.0,-0.0001,0.0029,0.0,0.0,0.0001,-0.0414,0.0017,0.0,0.0001,-0.0042
2026-07-14,83.0,86.0,81.0,83.0,9281300,0.0131,0.0073,-0.0166,0.0,0.0124,0.0008,0.0115,-0.1869,0.0099,-0.0177,0.0005,0.0239,0.0,0.021,0.0271,0.0,0.0151,0.064,0.0612,-0.0244,-0.0165,-0.0,0.0,-0.0017,0.0,0.0,0.0146,0.0277,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,-0.0042,-0.041,-0.0001,0.0
2026-07-15,83.0,85.0,81.0,83.0,9309100,0.0177,0.007,-0.0001,0.0004,0.0042,-0.0137,0.0066,-0.1433,0.0023,0.0,0.0001,0.0157,0.0,-0.0423,0.1438,0.0,-0.0015,0.0268,0.0273,-0.0486,-0.0003,-0.0005,0.0,-0.0023,0.0,0.0,0.0025,0.0,0.0008,0.0,-0.0021,0.0,0.0,0.0,-0.0008,0.0,0.0,0.0,0.0
2026-07-16,80.0,83.0,79.0,79.0,14675300,0.0707,0.0039,-0.0001,0.0,-0.003,0.0,0.1023,-0.3135,0.004,0.0,0.0002,0.0126,0.0001,0.0083,-0.0225,0.0,0.0032,-0.0507,0.029,-0.0442,0.0024,0.0154,0.0,-0.0061,0.2399,0.0,-0.0036,-0.0018,0.0003,-0.0,-0.0003,-0.049,0.016,-0.0008,-0.0136,0.0008,0.0,0.0,0.0
2026-07-17,79.0,84.0,78.0,81.0,11208100,0.0088,0.0059,0.004,0.0,-0.0008,0.0079,0.0279,-0.2129,0.0008,0.0,0.0006,0.0015,0.0,-0.0008,0.0366,0.0,0.0173,-0.0213,0.0749,-0.03,0.0016,0.004,0.0,-0.0003,0.0822,-0.004,-0.0001,-0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,81.0,82.0,78.0,79.0,8541200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,80.0,83.0,79.0,81.0,12385000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,88.0,88.0,80.0,80.0,63718200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,96.0,96.0,96.0,96.0,12199100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,100.0,105.0,91.0,105.0,137259400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
