Date,Close,High,Low,Open,Volume,MG,SQ,XC,YB,AZ,CP,PD,EP,XL,YP,CC,RO,LG,KK,NI,BQ,GR,OD,DR,YU,KI,AD,QA,PG,XA,DX
2026-07-13,93.0,100.0,90.0,91.0,3891300,0.0009,0.0,-0.0102,0.0,-0.0007,-0.0004,0.0153,-0.0018,0.0115,0.0053,0.0015,-400.0,-0.0002,0.0097,0.0,0.0001,-0.0016,-0.0294,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
2026-07-14,91.0,92.0,89.0,92.0,1261900,-0.0014,-0.0001,-0.0092,0.0,0.0,0.0005,-0.0008,0.0007,-0.0371,0.0025,0.0337,0.0,0.0,0.0032,0.0005,0.0107,0.0013,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0046,0.0,0.0
2026-07-15,91.0,94.0,90.0,91.0,1447800,0.0019,-0.0002,-0.0001,0.0,-0.0002,0.0309,0.0018,-0.0007,-0.0215,-0.0055,-0.0024,0.0,0.0,0.0006,-0.0,0.0006,-0.001,-0.0,0.0,-0.0043,-0.0001,-0.0,0.0,0.0,0.0,0.0
2026-07-16,91.0,93.0,90.0,92.0,614300,0.0,0.0,-0.0141,0.0,0.0,0.0,-0.0024,-0.0001,0.0033,0.003,0.0016,0.0,0.0178,0.0,0.0001,-0.0,0.0001,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,92.0,93.0,90.0,90.0,1296500,-0.0018,-0.003,-0.0003,0.0009,-0.0001,0.0227,-0.0103,-0.0,-0.0111,-0.0079,0.011,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,94.0,94.0,91.0,93.0,1375800,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,93.0,95.0,92.0,94.0,1063600,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,96.0,101.0,91.0,100.0,7652300,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,94.0,95.0,93.0,94.0,1295400,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,92.0,94.0,90.0,92.0,537800,,,,,,,,,,,,,,,,,,,,,,,,,,
