Date,Close,High,Low,Open,Volume,XC,YU,YJ,XA,AZ,ZP,AT,OD,AK,XL,YP,CC,MG,RG,BQ,PG,GR,BR,HD,RO,DR,BK,PD,CP,NI
2026-07-13,670.0,675.0,665.0,675.0,3733000,-0.0047,0.2374,-0.0167,-0.3076,0.0289,0.0849,-0.0738,-0.0157,0.0506,-0.1278,-0.0281,-0.0689,0.0622,0.1351,-0.0336,-0.0455,-0.0013,-0.2906,0.0,-0.0004,0.1526,0.0229,-0.0001,0.2402,0.0001
2026-07-14,675.0,675.0,665.0,675.0,3500500,-0.0026,-0.2165,0.0768,0.1115,-0.1721,0.2329,0.0285,-0.0797,-0.023,-0.1083,0.0769,0.0464,0.0103,-0.1619,-0.0621,-0.0894,-0.0335,0.1603,0.0,-0.0003,0.2284,0.0299,0.0,-0.0524,0.0
2026-07-15,675.0,675.0,665.0,675.0,3501500,0.001,0.0202,0.0918,-0.2595,-0.0928,-0.1702,-0.0392,0.0504,-0.0406,0.0077,0.0792,-0.0866,0.0703,0.1612,0.0693,0.1256,-0.0041,-0.1933,0.0665,-0.0,0.1801,-0.0361,-0.0008,0.0,0.0
2026-07-16,675.0,675.0,660.0,670.0,3309500,-0.0026,0.0284,-0.0836,0.1493,0.1484,-0.0441,0.0949,-0.05,-0.0033,-0.2472,-0.2176,0.002,0.0592,-0.2079,0.1669,-0.1247,0.0,0.1746,-0.0006,-0.0,0.1777,-0.0197,0.0,0.0,0.0
2026-07-17,665.0,670.0,665.0,665.0,3341600,0.0023,-0.2673,0.0176,0.0359,0.0167,-0.3173,-0.0264,0.0655,-0.0582,0.3829,0.2162,-0.0196,0.008,0.175,-0.0446,0.166,0.0002,-0.1382,-0.0127,0.0003,-0.2024,0.0,0.0,0.0,0.0
2026-07-20,670.0,675.0,660.0,670.0,3230500,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,670.0,675.0,655.0,675.0,3623700,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,670.0,670.0,655.0,670.0,2916700,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,675.0,675.0,655.0,670.0,4385100,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,680.0,680.0,660.0,675.0,4006600,,,,,,,,,,,,,,,,,,,,,,,,,
