Date,Close,High,Low,Open,Volume,QA,SQ,YU,XC,IH,XA,KK,CP,ZP,AK,BK,XL,YP,CC,TP,IF,PG,NI,MU,FS,HD,PD,DR,AZ,OD,IN,MG,BQ,LG,EP,TF
2026-07-13,406.0,412.0,404.0,408.0,12714200,0.0066,0.0,0.0037,-0.0005,0.0,-0.4111,0.0019,-0.0,-0.0086,0.1006,0.0019,-0.0118,-0.0215,0.2426,0.2194,-0.0433,0.0456,-0.0205,-0.0255,0.008,-0.0696,0.0129,-0.0816,0.0507,-0.0,0.0,-0.0001,0.0,0.0,0.0,0.0
2026-07-14,418.0,420.0,406.0,406.0,15731900,0.0,0.0,-0.3264,-0.0084,0.0,-0.009,0.0007,-0.001,0.1861,0.2318,-0.0223,0.0815,-0.0,0.3665,-0.0207,0.0711,-0.0679,0.0002,0.0,-0.0302,-1.2,-0.013,0.1052,1.7,0.0,-1.0,-0.0001,-0.0,-0.0001,-0.0003,-0.001
2026-07-15,408.0,420.0,408.0,420.0,10472500,0.0,0.0,0.3214,0.0152,-0.0845,-0.017,0.0016,0.0015,-0.0084,0.0132,-0.0188,0.0739,-0.0029,-0.1591,-0.1683,0.0,0.3287,0.0069,0.0,-0.1739,0.0002,0.0001,-0.0205,-0.1093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,408.0,408.0,404.0,408.0,10589100,0.0,0.0,-0.1091,0.0077,0.0796,0.6563,0.0015,0.0,0.1505,0.0694,0.0005,-0.1254,0.0,-0.101,0.303,0.0,-0.2842,0.1204,0.0406,0.202,-0.0059,-0.0085,0.0093,-1.7,-0.2842,0.9748,-0.0001,0.0003,0.0,0.0,0.0
2026-07-17,412.0,416.0,402.0,408.0,11024700,-0.0067,0.0005,-0.0807,-0.003,-0.0459,0.6517,0.001,0.0003,-0.0123,-0.1686,0.0402,-0.002,0.0002,-0.2281,-0.0034,0.002,0.2828,0.0006,-0.027,0.001,-0.1988,0.0001,-0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,408.0,412.0,406.0,412.0,10086400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,410.0,410.0,402.0,408.0,15525500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,412.0,412.0,400.0,408.0,15296000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,412.0,414.0,406.0,412.0,17386000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,402.0,412.0,398.0,412.0,7928500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
