Date,Close,High,Low,Open,Volume,XC,KK,CP,AT,KI,AK,EP,OD,BK,YP,AI,XL,CC,FZ,YB,BQ,MU,NI,GR,PD,RO,DR,SQ,YJ,LG,AZ,MG,BF,IF,HP,QA,RG,BR
2026-07-13,61.0,62.0,60.0,62.0,3146600,0.0058,0.0302,0.0,-0.0006,0.0,-0.0003,0.0006,0.0111,0.0,-0.0142,0.0002,-0.0438,0.0108,0.0,0.0012,0.0,0.0,0.0002,0.0,-0.0,0.0,0.0,0.0001,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,-0.001,0.0,0.0
2026-07-14,61.0,62.0,60.0,61.0,3976200,0.0072,-0.007,-0.0054,0.0,0.0,-0.0004,-0.0046,0.0006,-0.0094,-0.0091,0.0001,0.0264,-0.0067,-0.0,0.0002,-0.0068,0.0,0.0,0.0,0.007,0.0004,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0061,0.0001
2026-07-15,60.0,61.0,59.0,60.0,2550100,0.0256,-0.0011,-0.0,0.0,0.0,-0.0011,0.0002,0.0014,-0.0188,0.0181,-0.0001,0.0212,-0.0448,-0.0001,-0.0013,-0.0002,0.0,0.0015,0.0,0.0004,0.0006,-0.0006,-0.0008,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,61.0,62.0,59.0,60.0,5010700,0.0097,-0.0317,0.0005,0.0,0.0,0.0044,0.0,0.0092,-0.0091,0.0126,0.003,-0.0283,0.0009,0.0,-0.0049,0.0009,0.0,0.0585,0.0,0.0101,0.0005,-0.0046,-0.0016,0.0003,0.0001,0.0005,-0.0003,-0.0302,0.0,-0.0002,0.0,0.0,0.0
2026-07-17,60.0,61.0,59.0,61.0,3592100,-0.0052,-0.0267,0.003,0.0015,-0.0072,0.0037,0.0003,0.0012,-0.0013,0.002,-0.003,-0.0473,0.0682,0.0009,0.0055,0.0006,0.0001,-0.0004,0.0005,-0.0051,0.0025,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,59.0,61.0,59.0,61.0,2669700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,61.0,61.0,59.0,60.0,5875700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,60.0,61.0,59.0,61.0,3167100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,60.0,61.0,59.0,60.0,5839600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,60.0,60.0,57.0,60.0,4489700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
