Date,Close,High,Low,Open,Volume,XC,SQ,RO,KK,CP,AK,BK,EP,XL,YP,AI,CC,TP,YB,IU,GR,HD,PD,DR,LG,KZ,OD,DX,DH,NI,BQ,BR,KI,RF,IF,AZ,AT,YU
2026-07-13,505.0,515.0,505.0,510.0,439200,0.0072,0.0,0.0,0.0511,0.0152,-0.0555,-0.0116,0.0,0.0062,-0.0093,-0.0567,-0.0084,0.0005,0.0,0.01,0.0,0.0003,-0.0018,0.0444,0.0001,0.0,0.0024,0.0,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
2026-07-14,515.0,515.0,505.0,505.0,457500,0.0038,0.0544,0.0,0.0006,-0.0145,-0.0023,0.0342,-0.0,0.0007,0.0007,-0.1023,0.0019,0.0,-0.0099,-0.0103,-0.0013,0.0,0.0542,-0.0407,0.0,0.0,0.0263,-0.0005,0.0005,0.0,0.0,0.0,0.01,0.0,0.0,-0.0043,-0.0013,0.0
2026-07-15,515.0,525.0,510.0,515.0,1387000,0.0078,0.4698,0.0001,0.102,-0.0004,-0.0183,0.0357,0.0005,0.0132,-0.0255,-0.0528,-0.5009,0.0,0.0,0.0,0.002,-0.0002,-0.0069,-0.0258,-0.0005,0.0,-0.003,0.001,0.0003,0.0015,0.0,0.0,-0.0001,0.0005,-0.0001,0.0,0.0,0.0
2026-07-16,515.0,515.0,510.0,515.0,1638200,0.0102,0.5113,0.0,0.0014,-0.0043,0.0,0.0253,0.0018,0.0152,0.0191,0.0,0.0064,0.0,0.0,0.0,0.0,-0.0,0.142,0.001,0.008,0.0043,-0.0,0.001,0.0003,0.0029,0.0001,-0.7459,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,515.0,515.0,510.0,515.0,288200,0.0076,-0.0036,-0.0001,0.0018,-0.0097,0.001,0.0133,-0.0016,0.0351,0.0007,-0.0258,-0.0732,0.0515,-0.0035,-0.0,0.0052,0.0001,0.0011,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,520.0,520.0,510.0,515.0,1778400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,520.0,520.0,505.0,520.0,1808800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,515.0,520.0,505.0,510.0,5579300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,515.0,525.0,510.0,515.0,2056600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,510.0,515.0,510.0,515.0,753800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
