Date,Close,High,Low,Open,Volume,MG,SQ,XC,YU,BQ,NI,AT,AK,OD,XL,YP,CC,RO,XA,ZP,PD,GR,CP,EP
2026-07-13,1035.0,1080.0,1035.0,1040.0,4100,0.0,0.0,-0.0007,0.0,0.0,0.0003,-0.0002,0.0,0.0,-0.0004,-0.0,-0.0,0.0001,0.0,0.0,0.0,0.0,0.0009,-0.0
2026-07-14,1050.0,1080.0,1040.0,1080.0,16500,0.0,0.0,0.003,0.0,0.0,-0.0001,-0.0001,0.0007,0.0,-0.0131,0.0004,0.0092,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0
2026-07-15,1045.0,1050.0,1040.0,1050.0,54400,0.0,0.0,0.0006,-0.0444,0.0,0.0,0.0,0.0,-0.0002,0.0319,0.0039,0.0046,0.0,0.0021,0.0017,-0.0001,0.0,0.0,0.0
2026-07-16,1050.0,1070.0,1050.0,1050.0,2700,0.0,0.0,-0.0006,0.0,0.0,0.0007,0.0,0.0,0.0007,-0.0007,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1030.0,1070.0,1030.0,1060.0,28600,0.0099,0.0013,0.0006,-0.0281,0.0002,-0.0002,-0.0006,0.0003,-0.0001,0.0129,0.0035,0.0004,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1060.0,1060.0,1050.0,1060.0,5900,,,,,,,,,,,,,,,,,,,
2026-07-21,1050.0,1065.0,1050.0,1065.0,36600,,,,,,,,,,,,,,,,,,,
2026-07-22,1045.0,1090.0,1040.0,1045.0,39000,,,,,,,,,,,,,,,,,,,
2026-07-23,1050.0,1060.0,1040.0,1045.0,57400,,,,,,,,,,,,,,,,,,,
2026-07-24,1055.0,1260.0,1040.0,1060.0,424000,,,,,,,,,,,,,,,,,,,
