Date,Close,High,Low,Open,Volume,XC,QA,SQ,YJ,YU,LG,XA,KK,CP,ZP,AT,OD,DX,EP,XL,YP,AG,DH,CC,FZ,MG,SF,TP,YB,NI,BQ,GR,PD,RO,DR,AZ,CD,KI,GI,RG,IF,PC,IU,ZR,BK,DU
2026-07-13,24.0,24.0,22.0,23.0,44939500,0.0174,0.0065,-0.051,-0.0033,0.0144,-0.0001,-0.0007,-0.0607,-0.0434,0.0,-0.0082,-0.0353,-0.0023,0.0002,0.0173,-0.0114,-0.0006,-0.0013,0.3091,0.0,-0.0719,-0.0266,-0.0001,-0.0002,-0.0024,-0.0013,0.0013,-0.0285,-0.0011,-0.0006,-0.0214,0.0,-0.0062,0.0,0.0,0.0,0.0,0.0127,-0.0002,0.0002,-0.0002
2026-07-14,26.0,26.0,24.0,25.0,38134500,-0.0169,-0.0071,-0.042,0.0,0.0002,0.0001,-0.0005,-0.0421,0.0035,0.0,0.0,-0.0094,0.0026,-0.0085,0.2363,0.023,0.0,-0.0007,0.0589,0.0,-0.0058,-0.0072,-0.0148,0.0063,-0.0169,-0.001,0.0,-0.0582,0.0005,-0.0387,-0.0616,0.0,0.0001,0.0,0.0,0.0004,-0.0005,0.0,0.0,0.0,0.0
2026-07-15,28.0,28.0,26.0,26.0,52051100,0.0443,0.0007,-0.0554,0.0,-0.0,0.0,-0.0006,-0.0249,-0.0308,0.0276,-0.0003,-0.0078,0.0,-0.0006,0.2987,-0.0294,0.0,-0.0108,-0.1186,0.0,0.0148,0.0062,0.0042,-0.0056,-0.0342,-0.0007,-0.0082,-0.0455,0.0054,0.0269,-0.0532,0.0,-0.0007,0.0,-0.0017,0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-16,30.0,30.0,28.0,29.0,25616900,0.0134,-0.0098,-0.0163,-0.0041,-0.0,-0.0,-0.001,-0.0078,-0.0412,-0.0015,-0.0,0.0036,0.0,-0.0002,0.2056,-0.0173,0.0,-0.0018,-0.0634,-0.0,-0.0208,-0.0058,-0.0002,-0.0056,0.0047,-0.001,-0.045,-0.0122,-0.0,0.001,0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,33.0,33.0,31.0,32.0,56537700,0.0113,0.0017,-0.0099,-0.0011,-0.0008,-0.0003,-0.002,-0.0117,0.0023,-0.002,0.001,-0.056,0.0033,-0.0186,0.5771,0.0173,-0.0015,-0.005,-0.1126,0.0,0.0163,-0.0263,0.0017,0.0006,0.0038,0.0002,-0.157,-0.2236,-0.0001,-0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,36.0,36.0,34.0,36.0,42848800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,33.0,39.0,33.0,39.0,132569800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,30.0,33.0,30.0,30.0,21412900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,30.0,33.0,27.0,30.0,134891200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,29.0,31.0,28.0,31.0,21387300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
