Date,Close,High,Low,Open,Volume,PI,CP,GR,XL,CC,YP,IF,AD,AO,KK,FS,AT,SH,DU,XC,RX,AZ,IU,BK,PC,IC,PD,DR,XA,EP,AI,SQ,TP,OD,AK,NI,PG,ZP,YB,LG,SA,HD,ID,RO,DH,LS,HP,IH,MG,YJ,AG,QA,BQ,YU,DX,AF,SS,FZ,KI
2026-07-13,496.0,498.0,486.0,498.0,13613900,-0.1151,0.3492,0.0324,0.166,0.0452,0.0846,0.0009,0.0,-0.0976,0.016,0.0,0.003,0.2796,0.5904,0.0103,0.0,-0.048,0.0,0.0923,0.0,0.0,0.2399,0.0181,0.0,0.0652,0.0496,0.0303,0.0378,0.028,0.0839,0.0074,0.0,-0.0171,0.0,0.0,0.0,-0.0096,0.0976,0.0492,0.0004,0.0,0.0,0.0,0.0,-1.3,0.0,0.0,0.0,-0.8152,0.0,0.0,0.0,0.0,0.0006
2026-07-14,510.0,525.0,494.0,496.0,20178800,-0.0239,0.0559,-0.0589,0.2469,0.2521,0.1624,0.0525,0.0,-0.002,-0.0333,-0.0005,-0.0212,0.2328,0.3345,0.0066,0.0,0.0531,0.259,0.146,-0.0005,-0.049,-0.2575,0.0014,-0.0003,0.1098,-0.0196,0.0136,-0.0289,-0.0048,0.3571,-0.036,-0.0228,-0.0403,0.0091,-0.0038,0.027,0.0022,-0.312,0.007,0.0318,0.0788,0.0151,0.0,-0.0103,-0.7202,0.0,-0.0001,0.0006,-0.8,0.0103,-0.0156,0.0051,-0.0052,-0.0041
2026-07-15,510.0,520.0,505.0,515.0,11971300,0.0,-0.671,0.2199,0.2274,0.1004,-0.0128,-0.0009,0.0,0.0,0.0057,0.0,0.0545,0.612,0.0515,0.0162,0.0,0.0305,0.0,0.1095,0.002,0.0,0.3135,-0.0255,0.0,-0.1749,-0.4567,0.0233,-0.0006,0.0258,-0.1494,0.0835,0.0,0.0009,-0.0121,0.0002,0.0,-0.0028,0.1295,-0.0268,0.0051,0.102,-0.002,0.0,0.0026,-0.101,0.0101,-0.0001,0.0002,-0.4872,-0.0024,0.0,0.0,0.0,0.0
2026-07-16,515.0,525.0,490.0,510.0,23336900,0.0005,-0.5393,0.0572,0.0427,0.4916,0.0184,0.0101,0.0,-0.0103,0.1238,0.0,0.0071,0.0557,-0.1335,0.0385,0.0,0.0443,0.6565,0.0866,0.2328,0.0,-0.0458,-0.0065,0.0,0.0574,-0.2026,0.032,-0.1518,-0.0253,0.5885,-0.0092,-0.0025,0.0,-0.0238,0.0079,0.0,-0.0005,0.0768,-0.042,0.0067,-0.2293,-0.0116,-0.0015,-0.0052,-0.3558,0.0039,-0.0051,0.0002,-0.8377,0.0,0.0,0.0,0.0,0.0
2026-07-17,505.0,520.0,496.0,520.0,17729000,-0.0025,-0.0187,0.1005,0.3001,0.1499,0.2134,-0.0009,-0.0001,0.0042,0.0057,-0.0147,-0.0496,-0.15,-0.0339,0.0496,-0.6575,0.0104,-0.324,0.2,-0.0758,0.0025,0.6971,0.0029,0.0033,0.1002,-0.5,0.0563,0.004,0.1124,-0.4228,0.0223,0.0025,0.1345,-0.0009,0.0054,0.024,0.0162,0.0253,-0.009,0.0154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,505.0,515.0,498.0,505.0,19156600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,525.0,525.0,500.0,505.0,25354200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,515.0,540.0,505.0,530.0,18287900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,525.0,555.0,515.0,520.0,43920200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,498.0,525.0,486.0,525.0,22972000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
