Date,Close,High,Low,Open,Volume,CP,GR,PD,DR,YP,XL,CC,EP,IF,XA,KK,MI,GI,XC,SQ,OD,NI,AZ,ZP,HP,LG,RO,RG,AT,BQ,FZ,HD,LS,YB,DH,PC
2026-07-13,292.0,296.0,282.0,290.0,592600,0.0,0.0014,-0.0018,-0.0002,-0.0067,0.0144,-0.0311,0.0,0.0,0.0,0.0028,-0.0031,0.0,0.0131,0.0113,0.0,0.0012,-0.0015,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0,-0.0
2026-07-14,294.0,300.0,290.0,294.0,324100,0.0,0.0,-0.0143,0.0,0.0013,-0.0099,0.012,0.0052,0.0,0.0,0.0,-0.003,0.0,-0.0043,0.0078,0.0,-0.0002,-0.0036,0.0,0.0015,0.0003,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0029,0.0044,0.0,0.0
2026-07-15,296.0,298.0,290.0,294.0,267000,0.0,0.0,0.0047,0.0,-0.0196,0.0047,0.001,-0.0019,0.0,0.0,0.0,-0.003,0.0,0.0008,-0.0016,0.0089,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.003,0.0,0.0,0.0
2026-07-16,298.0,300.0,296.0,298.0,162900,-0.0013,0.0039,-0.0037,0.0085,0.0048,-0.0085,0.0014,0.0,0.0,-0.0011,0.0002,-0.003,0.001,0.0003,-0.0072,0.0,-0.0024,-0.0009,0.0,0.0,0.0002,0.0,0.0074,0.0001,0.0001,-0.0,-0.0,0.0,0.0,0.0,0.0
2026-07-17,306.0,308.0,296.0,298.0,435200,0.0003,0.019,0.0437,0.0099,0.0006,-0.0297,-0.0014,0.0015,-0.0,-0.0,-0.0076,-0.003,0.0003,-0.0015,0.0015,-0.015,-0.0021,-0.0139,0.0,-0.0018,-0.0008,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,308.0,310.0,306.0,308.0,276400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,316.0,320.0,310.0,310.0,363300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,308.0,318.0,296.0,316.0,699100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,312.0,318.0,308.0,312.0,478800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,310.0,314.0,304.0,314.0,267400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
