Date,Close,High,Low,Open,Volume,PI,DH,OD,CP,XL,CC,YP,XA,PD,NI,BQ,MU,KK,YB,LG,DX,XC,ZP,AT,PC,RO,GR,EP,SQ,AZ,JB,DR,KI,TP,QA,MG
2026-07-13,51.0,52.0,50.0,51.0,3343700,-0.0004,0.0,-0.0001,-0.027,0.0055,-0.0132,0.0326,0.0,0.0036,-0.0007,0.0031,0.0,0.0,0.0,0.0,0.0008,-0.0001,0.0,0.0,0.0,0.0,0.0,-0.0002,-0.0004,0.0,0.0,0.0,0.0,0.0,-0.0033,0.0
2026-07-14,52.0,52.0,50.0,52.0,1419600,-0.0017,0.0,-0.0001,-0.0004,0.016,-0.017,0.0081,0.0,-0.0119,-0.001,-0.0001,-0.0002,0.0,0.0,0.0,0.0,0.0036,0.0,-0.0003,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0026,0.0026,-0.0,0.0001,0.0,0.0
2026-07-15,52.0,52.0,50.0,51.0,1119600,0.0046,0.0001,-0.0003,0.0,-0.0133,0.0094,0.0011,-0.0,0.0016,0.0006,-0.0012,0.0,0.0015,0.0,-0.001,0.0015,-0.0003,0.0,-0.0002,0.0,0.0,-0.0041,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,52.0,52.0,50.0,51.0,2572100,0.0026,0.0,-0.063,0.0005,0.0165,-0.0115,0.0309,0.0001,0.0005,-0.0027,0.0049,0.0,0.0001,0.0074,0.0014,0.0,0.013,0.0,-0.0,-0.0008,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,51.0,52.0,50.0,51.0,2124000,-0.0007,0.0006,-0.062,-0.0005,-0.0146,0.0468,0.0297,0.0001,-0.001,0.0,-0.0,-0.0,0.0001,-0.0033,0.0,0.0013,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,63.0,66.0,51.0,51.0,367373500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,57.0,61.0,56.0,60.0,58389000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,58.0,60.0,56.0,58.0,36258100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,57.0,60.0,56.0,58.0,22011700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,55.0,57.0,54.0,57.0,9359700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
