Date,Close,High,Low,Open,Volume,JB,GR,XL,PD,CC,DR,YP,AT,DX,XC,SQ,TP,OD,QA,BQ,AK,YU,AZ,ZP,PC,RO,DH,EP,KK,RX,NI,HP,CD,IF,XA,AI,KZ,LG,YB,MG,CP
2026-07-13,1545.0,1550.0,1520.0,1545.0,336800,0.0,-0.061,0.0035,0.0139,0.0166,-0.0048,0.0022,0.0,0.0,0.0347,-0.0011,0.0155,-0.0009,0.0,0.0,0.0724,0.0,0.0005,0.0,0.0,0.0006,-0.0756,0.0,0.0085,0.0,-0.0002,0.0155,0.0031,0.0,-0.034,0.0,0.0,0.0,0.0,-0.0092,-0.0
2026-07-14,1580.0,1580.0,1540.0,1555.0,446100,0.0,-0.1092,0.0541,0.0028,0.01,500.0,-0.0144,0.0,0.0,0.0399,-0.0132,-0.0158,-0.0222,0.0025,0.0,-0.0256,-0.0071,-0.0002,0.0,0.0,0.0,-0.1519,-0.0003,0.0,0.2689,-0.0042,0.0,0.0,0.0,-0.0188,0.0,0.0,0.0,0.011,-0.0063,0.0
2026-07-15,1590.0,1600.0,1570.0,1580.0,625200,0.0003,-0.1972,-0.0947,0.0224,0.1938,0.0041,-0.0041,0.0,0.0,0.0307,-0.0226,0.0115,-0.0073,-0.0,0.0008,-0.0295,0.0002,-0.0,0.0,-0.0008,0.0,-0.4078,0.0013,0.0081,0.4945,-0.0162,0.0,0.0096,0.0005,-0.0147,-0.0016,0.0134,0.0056,0.0,0.0,0.0
2026-07-16,1580.0,1590.0,1575.0,1590.0,296600,0.0003,-0.0019,0.0168,0.0028,-0.0827,0.0,0.0259,0.0,0.0,0.0608,-0.0769,0.0,-0.0005,0.0,0.0003,-0.0329,0.0,-0.0106,0.0,0.0,0.0009,-0.039,0.0003,-0.004,0.1241,500.0,0.0159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1580.0,1585.0,1575.0,1575.0,151000,0.0008,-0.0126,0.0276,0.0196,0.0119,0.0003,-0.0005,0.0002,0.0017,-0.0116,0.0009,0.0005,-0.0174,0.0002,0.0005,-0.0269,-0.0087,0.0002,0.0002,0.0103,0.0016,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1585.0,1585.0,1565.0,1580.0,650100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1580.0,1585.0,1570.0,1585.0,356800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1570.0,1580.0,1560.0,1580.0,208300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1570.0,1575.0,1565.0,1570.0,210200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1560.0,1595.0,1555.0,1570.0,212700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
