Date,Close,High,Low,Open,Volume,CP,GR,XL,CC,YP,DR,PD,EP,KK,SF,LS,XC,SQ,TP,OD,NI,MU,YB,LG,DH,MG,QA,RO,CD,XA,AT,ZP,HP,JB,IU,AZ
2026-07-13,27.0,27.0,27.0,27.0,3891500,0.0,0.0231,0.023,-0.0024,0.0007,0.0,-0.0008,0.0,-0.0013,0.0,0.0,0.0019,-0.0231,0.0,-0.0008,0.012,0.0,0.0008,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029,0.0,0.0,-0.0081,-0.0
2026-07-14,28.0,28.0,27.0,27.0,1474600,-0.002,0.0,0.0083,0.0041,-0.0115,0.0,0.0021,-0.0002,-0.0026,0.0,0.0,0.0008,-0.0018,0.0,-0.0003,0.0,0.0,0.0007,0.0009,0.0003,0.0,0.0,0.0001,0.0001,0.0,0.0014,-0.0007,0.0005,0.0,0.0,0.0
2026-07-15,27.0,28.0,27.0,28.0,2117900,0.0,0.0,0.0079,0.0039,0.0014,0.0031,0.007,0.0002,0.0,0.0,0.0005,-0.0023,-0.0259,0.0,0.0,0.0001,0.0,0.0012,0.0003,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,27.0,27.0,26.0,26.0,2644600,0.0001,0.0005,0.0094,-0.0046,0.0096,0.0002,0.0008,0.0025,0.0003,0.0001,0.0005,0.0009,-0.0236,0.0,0.0,0.0007,0.0,0.0017,0.0003,0.0001,0.0,0.0005,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,26.0,27.0,26.0,27.0,1685300,0.0001,0.0006,-0.0171,0.0026,0.0051,0.0001,-0.0032,0.0046,0.0018,0.0001,0.0013,0.0008,0.0003,0.0,-0.0047,0.0001,-0.0023,-0.0011,0.0005,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,26.0,26.0,26.0,26.0,4829000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,26.0,26.0,26.0,26.0,3231100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,28.0,28.0,27.0,27.0,9955500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,27.0,28.0,26.0,28.0,10086400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,26.0,27.0,26.0,26.0,2987900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
