Date,Close,High,Low,Open,Volume,CP,GR,YJ,PD,CC,DR,XL,YP,KK,AT,XC,OD,QA,BQ,NI,AZ,YB,LG,RO,ES,MG,SQ,DH
2026-07-13,204.0,208.0,194.0,208.0,23300,0.0,0.0,-0.0012,-0.0,-0.0002,0.0,-0.0006,0.0002,-0.0,0.0,-0.0001,0.0,0.0,-0.0,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0001
2026-07-14,198.0,206.0,180.0,204.0,195200,0.0,0.0,-0.0017,0.0,0.0004,-0.0007,0.0255,0.0,0.0,0.0002,0.0008,0.0,0.0,0.0,0.0,0.0,-0.0071,-0.02,-0.0005,0.0,0.0,0.0032,0.0
2026-07-15,195.0,198.0,185.0,197.0,67900,0.0,0.0,-0.0001,-0.0,0.0009,0.0038,-0.0038,0.0,0.0,0.0,0.0006,-0.0,0.0,0.0003,0.0,0.0,0.0013,-0.0,0.0,0.0,0.0,-0.003,0.0
2026-07-16,186.0,195.0,180.0,195.0,801600,0.0028,0.0,-0.0033,0.0001,0.0012,0.0237,0.0038,0.0068,0.0009,0.0001,0.0114,0.0002,0.0005,0.0082,0.0,0.0008,0.026,-0.0844,0.0003,0.0009,-0.0,0.0,0.0
2026-07-17,189.0,194.0,183.0,189.0,479800,-0.0029,0.0004,-0.0031,0.0037,0.0082,0.0004,-0.0033,-0.0013,0.0057,0.0001,-0.0015,-0.0002,-0.0005,-0.0008,0.0,-0.0006,-0.0081,0.0042,-0.0003,0.0,0.0,0.0,0.0
2026-07-20,189.0,195.0,177.0,190.0,129000,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,195.0,198.0,181.0,190.0,651900,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,190.0,198.0,190.0,198.0,210600,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,193.0,194.0,191.0,193.0,120000,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,191.0,195.0,182.0,193.0,75400,,,,,,,,,,,,,,,,,,,,,,,
