Date,Close,High,Low,Open,Volume,GR,PD,CC,YP,XL,IF,KK,XC,SQ,TP,QA,BQ,AK,NI,AZ,ZP,DH,AO,RO,CP,DR,MU,KI,OD
2026-07-13,104.0,105.0,103.0,104.0,320400,0.0,-0.0,-0.0003,-0.0267,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,-0.0003,0.002,0.0,0.0,0.0,0.0,0.0,0.0218,0.0,0.0,0.0,0.0
2026-07-14,106.0,107.0,104.0,106.0,235700,0.0,-0.0096,0.0032,-0.0009,0.0125,0.0,0.0001,-0.001,-0.0003,0.0001,0.0,0.0016,-0.0027,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0023,0.0,0.0,-0.0,-0.0007
2026-07-15,109.0,109.0,105.0,105.0,537800,0.0,0.0014,0.0018,-0.0048,0.0185,0.0,-0.0135,-0.0108,-0.0001,0.0,0.0,-0.0031,-0.0027,-100.0,0.0082,0.0,0.0,0.0,0.0,0.0129,0.0006,-0.0086,0.0,0.0
2026-07-16,109.0,110.0,106.0,109.0,345500,0.0001,0.0016,-0.0164,0.0016,0.0238,0.0,-0.0001,0.0001,0.0,0.0,0.0,0.0001,-0.0032,-0.0003,-0.008,-0.0005,0.0,0.0011,400.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,109.0,110.0,108.0,109.0,165400,-0.0001,-0.0046,0.0,0.0058,-0.004,-0.0,0.0046,-0.0005,0.0003,-0.0005,-0.0,-0.0003,-0.0,-0.0,-0.0,-0.001,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,111.0,115.0,109.0,109.0,596500,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,111.0,118.0,110.0,115.0,865600,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,110.0,113.0,109.0,111.0,238300,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,110.0,112.0,109.0,111.0,159000,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,110.0,111.0,108.0,110.0,146300,,,,,,,,,,,,,,,,,,,,,,,,
