Date,Close,High,Low,Open,Volume,TP,OD,PD,CC,XL,YP,XA,NI,KK,ZP,AT,XC,SQ,BQ,FZ,MU,AG,QA,CP,GR,DR,EP,AI,AZ,RO
2026-07-13,50.0,50.0,50.0,50.0,195700,-0.0098,0.0,0.0056,0.0023,0.0018,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,50.0,50.0,50.0,50.0,169100,-0.0059,0.0,0.0002,0.003,-0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.001,0.0,0.0
2026-07-15,50.0,50.0,50.0,50.0,75900,-0.0038,0.0,0.001,0.0003,0.002,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,50.0,50.0,50.0,50.0,1086000,-0.0305,0.0,0.0027,0.0506,0.0006,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0,0.0001,-0.0,-0.0237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,50.0,50.0,50.0,50.0,183300,-0.0092,0.0005,0.0066,0.0011,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,50.0,50.0,50.0,50.0,10767800,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,51.0,53.0,50.0,53.0,56301900,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,51.0,51.0,50.0,50.0,6793800,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,51.0,51.0,50.0,50.0,12971700,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,51.0,51.0,50.0,50.0,5947600,,,,,,,,,,,,,,,,,,,,,,,,,
