Date,Close,High,Low,Open,Volume,CP,PD,CC,XL,YP,EP,AG,KK,XC,SQ,TP,OD,BQ,NI,AZ,YB,HP,LG,PC,RO,DH,IF,KI,AT,AI,ZP,MG,GR,DR,SH,FZ,YU,XA,RB
2026-07-13,17.0,18.0,17.0,18.0,7369000,-0.0017,0.001,-0.0051,-0.0055,-0.0625,0.0001,0.0,0.0,-0.0035,-0.0002,0.0,-0.0016,0.0057,0.0054,-0.0,-0.0,0.0,0.0072,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,-0.0101,0.0653,0.0,0.0035,0.0,0.0,-0.0003,-0.0006
2026-07-14,17.0,17.0,17.0,17.0,14672000,0.0,0.0006,0.0296,-0.0139,-0.0487,0.0015,0.0002,0.0094,-0.0008,0.0001,0.0,-0.0396,0.0001,0.0036,-0.0003,0.0,0.0,0.0052,0.0,0.0001,0.0239,0.0001,0.0,0.0004,0.0,0.0,0.0192,-0.0016,0.0001,0.0017,0.0008,0.0085,0.0,0.0
2026-07-15,17.0,17.0,17.0,17.0,10495400,-0.0003,0.0375,0.0113,0.0176,-0.0283,-0.0016,0.0,0.017,-0.0,0.0,0.0,0.0022,-0.0006,0.0002,0.0,0.0037,0.0,0.0,0.0,0.0004,0.0004,0.0,0.0,0.0022,0.0,-0.034,-0.0221,-0.0041,-0.0,-0.0017,0.0,0.0,0.0,0.0
2026-07-16,17.0,17.0,17.0,17.0,6311300,0.0001,0.0084,0.0207,0.0042,-0.0156,0.0,0.0,0.0087,0.0015,0.0001,0.0,0.0,0.0025,-0.0066,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0017,-0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,17.0,17.0,17.0,17.0,5027800,-0.0043,0.0015,0.0333,-0.0271,-0.0172,-0.0002,0.0002,-0.0,-0.0054,-0.0021,0.0001,0.0176,0.0016,-0.003,0.0,0.0002,0.0,0.0034,-0.0003,0.0001,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,18.0,18.0,17.0,17.0,22968800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,18.0,18.0,18.0,18.0,11492700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,17.0,18.0,17.0,18.0,13228100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,17.0,18.0,17.0,18.0,11520300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,17.0,17.0,16.0,17.0,6280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
