Date,Close,High,Low,Open,Volume,PD,CC,YP,XL,BQ,NI,EP,KK,XC,SQ,OD,CP,ZP,LG,YU,RO,KI
2026-07-13,199.0,199.0,197.0,199.0,81100,-0.0,0.0088,0.0009,-0.0114,-0.0012,0.0,0.0,0.0,0.0029,0.0,-0.0011,0.0,0.0,0.0,0.0,0.0,0.001
2026-07-14,197.0,199.0,196.0,199.0,38800,-0.0012,0.0002,0.0021,0.0009,-0.0014,0.0,0.0,0.0,-0.0005,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,198.0,198.0,195.0,196.0,76000,0.0001,0.0,0.0051,-0.0039,0.0,0.0,0.0003,0.0,-0.0051,0.002,0.0002,0.0,0.0,0.0,0.0011,0.0001,0.0
2026-07-16,199.0,199.0,184.0,198.0,101200,0.0,0.0007,0.0085,-0.0101,-0.0002,0.0,0.0001,-0.0064,0.0011,0.0026,0.0006,0.0001,0.0029,0.0,0.0,0.0,0.0
2026-07-17,199.0,199.0,197.0,199.0,130900,0.0001,0.0099,0.0029,-0.0028,-0.0137,0.0,-0.0004,0.0,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,199.0,199.0,197.0,199.0,93700,,,,,,,,,,,,,,,,,
2026-07-21,198.0,199.0,197.0,198.0,237000,,,,,,,,,,,,,,,,,
2026-07-22,198.0,200.0,197.0,198.0,46700,,,,,,,,,,,,,,,,,
2026-07-23,198.0,200.0,197.0,198.0,72600,,,,,,,,,,,,,,,,,
2026-07-24,198.0,200.0,197.0,197.0,78400,,,,,,,,,,,,,,,,,
