Date,Close,High,Low,Open,Volume,CP,GR,XL,CC,YP,PD,XA,EP,AO,KI,KK,DX,XC,SQ,OD,QA,BQ,AK,NI,LG,PC,RO,DH,MG,DR,IF,TP,ZP,TF,AG,AT,AZ,YB,RF,LS,FZ,SH,IH,AH,EL,YU,AR
2026-07-13,61.0,65.0,60.0,61.0,65381300,-0.0539,-0.0061,0.2571,-0.2999,0.0632,-0.0095,0.0024,-0.0079,0.0,0.0003,-0.0413,0.0,0.1375,0.0012,-0.0071,-0.0063,-0.0379,0.0047,0.0336,0.0,-0.0,0.0002,-0.0048,-0.0028,0.0001,0.0014,-0.0066,0.0001,0.0,-0.0003,-0.009,0.0048,0.0019,0.0,-0.0061,0.0005,0.0062,-0.0001,0.0001,0.0085,-0.0236,-0.0006
2026-07-14,62.0,62.0,60.0,62.0,12922000,0.0276,0.0,-0.206,0.2633,0.0238,-0.0051,-0.0018,0.0053,0.0,-0.0015,0.0128,0.0,-0.1383,-0.0002,0.0136,0.0,-0.0074,0.0293,-0.0081,0.0,0.0,0.0,0.0,-0.0031,0.0,0.0031,0.0001,0.0006,0.0,0.0,0.0021,-0.0049,-0.0051,0.0,0.0001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,61.0,64.0,60.0,62.0,31801100,0.0019,-0.0286,0.0859,0.1573,-0.2175,0.073,-0.0058,0.0961,0.0,0.0005,-0.0006,0.0,-0.0619,-0.1322,-0.0093,0.0,0.0063,0.0052,0.0034,0.0038,-0.0016,0.0004,0.0,0.0162,-0.0023,-0.0031,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0005,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,62.0,62.0,60.0,61.0,7615700,0.0098,0.0061,-0.0637,0.1139,-0.0435,0.0043,0.0,-0.0043,-0.0427,0.0015,0.0018,0.0006,-0.0039,0.0005,0.0053,0.0,0.0015,0.0184,-0.0193,0.0006,0.0,-0.0,0.0,-0.014,-0.0006,-0.0,0.0281,0.0006,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,62.0,63.0,61.0,61.0,14500200,-0.0085,-0.0021,-0.0666,0.0063,0.0523,-0.0027,-0.0003,-0.0869,0.0427,-0.0,-0.025,-0.0006,-0.0329,0.0611,-0.0162,0.0992,0.0122,-0.028,-0.0115,0.0,0.0003,-0.0004,0.0,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,63.0,66.0,62.0,63.0,28397800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,62.0,65.0,62.0,63.0,24771100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,64.0,66.0,62.0,62.0,29927400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,63.0,65.0,62.0,64.0,19813700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,61.0,63.0,60.0,62.0,11453300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
