Date,Close,High,Low,Open,Volume,TP,OD,QA,CP,XC,PD,DR,YP,XL,CC,BQ,NI,KI,EP,YB,SQ,DH,MG,GR,RG,XA,KK,AZ,AT,AI,DX
2026-07-13,31.0,31.0,31.0,31.0,1719400,0.0,-0.0155,-0.0003,-0.0003,-0.0003,-0.0002,0.0003,-0.0006,0.0165,0.0077,0.0,0.0065,0.0,0.0,-0.0006,0.0,-0.0131,-0.0008,0.0003,0.0,0.0004,0.0,0.0,0.0,0.0,0.0
2026-07-14,31.0,31.0,30.0,31.0,2810400,0.0,0.0,0.0003,0.0,0.015,0.0176,-0.0077,0.0002,-0.0159,0.0009,-0.001,0.0074,0.0,-0.0001,-0.0011,0.0017,0.003,0.0,-0.0064,-0.0111,0.0,0.0003,0.0,0.0,0.0,-0.0029
2026-07-15,31.0,31.0,30.0,30.0,5603900,0.0,-0.091,-0.0,0.0,0.0169,0.0005,0.0313,0.0301,0.0555,0.0003,0.0,0.0036,0.0,0.0,-0.0587,-0.0006,0.0039,0.0,0.0003,0.0,0.0,0.003,0.0,0.0,0.0048,0.0
2026-07-16,31.0,31.0,30.0,31.0,1975200,0.0,0.0,0.0019,-0.0,0.0008,0.0137,0.005,-0.0008,-0.0014,-0.0001,-0.0003,0.0,0.0,0.0,0.0027,0.0,-0.0016,0.0,0.0006,-0.0044,-0.015,0.0,-0.0013,0.0,0.0,0.0
2026-07-17,30.0,30.0,30.0,30.0,2931100,0.0003,0.0003,-0.0019,-0.0,-0.0037,0.0098,0.021,0.0023,-0.0305,-0.0024,-0.0,-0.0029,-0.009,-0.0007,0.0026,-0.0014,0.0042,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,31.0,31.0,30.0,30.0,1492000,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,31.0,31.0,30.0,30.0,2727300,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,31.0,31.0,30.0,30.0,1648300,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,33.0,33.0,30.0,31.0,13171800,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,30.0,32.0,30.0,32.0,2822700,,,,,,,,,,,,,,,,,,,,,,,,,,
