Date,Close,High,Low,Open,Volume,CP,GR,YJ,XL,PD,CC,DR,YP,EP,KK,AT,AI,XC,SQ,TP,OD,BQ,AK,NI,YU,AZ,ZP,YB,HP,LG,PC,RO,DH,MG,II,IN,XA,AG,DX,BK,RF,IF,AO,FS,SH,MU,KI,QA,HD,ID,TF
2026-07-13,206.0,208.0,198.0,204.0,7857800,0.0251,0.0,-0.1981,-0.0396,0.0329,0.2027,0.0142,0.0354,-0.0686,0.0006,0.0,0.0,-0.0023,-0.2367,0.0152,0.1011,-0.0,0.2617,0.009,0.0,0.0204,0.0002,0.0019,0.0001,0.0018,0.0,0.0,-0.033,-0.0727,0.0,-0.0002,-0.112,0.0,0.0,-0.0045,0.0,0.0448,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0
2026-07-14,204.0,210.0,204.0,206.0,7118000,-0.1747,0.0267,0.0214,-0.1076,0.0799,0.1139,-0.1306,-0.0475,0.0002,0.0199,-0.0001,-0.0315,0.0112,0.0197,0.0,0.0064,0.0067,0.2241,0.0163,0.0,0.0316,0.018,-0.0394,0.0015,0.003,-0.0,-0.0009,0.0131,-0.0002,0.0,0.0,-0.0062,-0.1041,0.0,0.0214,0.0,0.0104,-0.0021,0.0,0.0,0.0004,0.0,-0.0002,0.0,0.0,-0.0007
2026-07-15,214.0,222.0,204.0,206.0,16619300,0.1383,0.029,0.031,-0.5474,0.006,-0.0217,0.0461,-0.063,-0.0088,0.3601,-0.0004,0.0,-0.0121,-0.0434,-0.0573,-0.0952,0.0199,0.0628,-0.0636,0.0079,0.1023,-0.0256,0.0339,-0.0074,0.0051,-0.0,-0.0,-0.0262,0.0304,0.0,-0.0013,0.0552,0.0,0.0005,0.0332,-0.0044,0.0846,-0.0021,-0.0004,-0.0011,-0.0002,-0.0635,-0.001,0.0001,-0.0002,0.0
2026-07-16,212.0,220.0,206.0,218.0,10668000,0.0011,0.0537,-0.0558,0.0113,0.3949,-0.2384,0.0251,0.1272,0.0367,0.0198,0.0026,-0.104,0.0745,0.22,-0.0021,0.1435,0.0121,-0.4238,0.0563,-0.0416,-0.1817,0.0058,0.0247,0.0083,-0.0168,-600.0,0.0006,0.0089,-0.0079,-0.0,-0.1454,-0.0219,0.0042,-0.0007,0.0002,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,206.0,210.0,202.0,210.0,9801000,0.0032,-0.0468,0.0004,0.2024,0.1011,0.036,-0.0714,-0.0308,-0.0026,-0.0823,0.0053,0.001,0.0393,0.0067,-0.0153,0.0553,-0.0052,-0.4227,-0.004,0.0611,-0.0081,0.0709,-0.0126,0.0062,0.0066,0.0002,-0.0003,0.0768,0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,206.0,210.0,204.0,206.0,7012600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,214.0,214.0,206.0,206.0,10473000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,208.0,218.0,206.0,216.0,7996600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,216.0,226.0,210.0,210.0,21490900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,206.0,216.0,206.0,216.0,8699900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
