Date,Close,High,Low,Open,Volume,CP,GR,YJ,XL,PD,YP,XA,CC,DR,EP,KK,XC,SQ,TP,OD,AK,NI,YU,AZ,YB,ZP,LG,RO,DH,AR,KI,AT,QA,BQ,BK,MG,SF
2026-07-13,895.0,935.0,870.0,875.0,363600,0.0,0.0,-0.0179,-0.0148,-0.0011,0.018,0.0,0.1137,-0.0091,0.0,0.0027,-0.0952,0.0004,0.0003,-0.0001,-0.0014,-0.0005,0.0,0.0,0.0,0.0,-0.0065,0.0,-0.0024,0.0,0.0007,0.0002,0.0016,0.0,0.0115,0.0,0.0
2026-07-14,945.0,995.0,880.0,880.0,1039000,-0.0003,0.0025,-0.0067,0.21,0.0209,-0.1015,0.0,0.0563,-0.0246,0.0,-0.0102,-0.0767,-0.0117,-0.0008,-0.0299,-0.0136,-0.0035,0.0057,-0.0185,0.0005,0.0,-0.0046,-0.0092,-0.0001,-0.001,0.0001,0.0032,-0.0001,-0.0,0.0043,0.0001,0.0095
2026-07-15,915.0,965.0,830.0,830.0,1078100,-0.0025,0.0012,-0.01,-0.0116,-0.0062,0.065,-0.0,-0.0497,-0.0005,0.0004,0.0014,0.0027,-0.0,0.0,0.0106,-0.0377,0.0016,0.0048,0.0207,0.0192,-0.0,-0.0043,0.0005,-0.0003,0.0009,0.0012,-0.008,0.0014,0.0,0.0011,-0.002,0.0
2026-07-16,960.0,1030.0,885.0,915.0,960600,-0.0,0.0696,-0.026,0.1121,-0.017,0.0108,0.0,-0.0532,0.0,-0.0004,-0.0069,-0.0013,0.0005,-0.001,-0.0121,-0.0069,-0.0091,-0.0058,-0.022,-0.0075,-0.0,-0.0012,-0.0035,-0.0001,-0.0004,-0.0001,0.0023,0.0005,0.0001,0.0041,-0.0255,0.0
2026-07-17,960.0,1000.0,915.0,995.0,705100,0.0186,0.0,-0.0196,0.0485,0.0172,0.0027,0.0001,-0.07,-0.0001,-0.0001,-0.0091,0.0655,0.0022,-0.0004,-0.0016,-0.036,0.0049,0.0033,-0.0132,-0.0135,-0.0,-0.0001,0.0012,-0.0001,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1140.0,1200.0,965.0,1000.0,15028700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1070.0,1175.0,1050.0,1140.0,3592100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1055.0,1140.0,1035.0,1075.0,2056000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1025.0,1100.0,1010.0,1055.0,1932000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1030.0,1050.0,980.0,1040.0,926600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
