Date,Close,High,Low,Open,Volume,YJ,XL,CC,YP,EP,XC,PD,OD,MG,CP,NI,AZ
2026-07-13,1800.0,1845.0,1700.0,1810.0,15800,0.0,0.0065,-0.0081,0.002,-0.0007,0.0005,0.0,0.0,0.0,0.0,0.0,-0.0001
2026-07-14,1820.0,1820.0,1750.0,1800.0,24600,0.0,0.0008,0.0005,-0.0,-0.0015,0.0002,0.0,0.0,0.0,-0.0012,0.0012,0.0
2026-07-15,1780.0,2000.0,1760.0,1820.0,47100,0.0,0.0053,-0.0047,-0.0057,0.0007,0.0026,0.0002,0.0005,0.001,0.0,0.0,0.0
2026-07-16,1755.0,1780.0,1730.0,1760.0,7400,0.0,-0.0026,0.0004,-0.0005,0.0,0.0017,0.0011,0.0,0.0,0.0,0.0,0.0
2026-07-17,1785.0,1800.0,1750.0,1750.0,7400,0.0007,-0.0048,0.0021,-0.0002,0.0002,0.002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1880.0,1975.0,1745.0,1745.0,41400,,,,,,,,,,,,
2026-07-21,1840.0,1900.0,1795.0,1900.0,22700,,,,,,,,,,,,
2026-07-22,1865.0,1900.0,1790.0,1820.0,23900,,,,,,,,,,,,
2026-07-23,1835.0,1870.0,1805.0,1865.0,51000,,,,,,,,,,,,
2026-07-24,1800.0,1895.0,1800.0,1835.0,8300,,,,,,,,,,,,
