Date,Close,High,Low,Open,Volume,TP,CD,XL,PD,YP,YU,ZP,IH,PC,RO,XC,OD,ZR,CC,BQ,KK,EL,AR,SQ,CP,GR,RG,KI,SF,NI,AZ,YJ,HP,SA,XA
2026-07-13,354.0,360.0,330.0,350.0,132600,0.0,0.0,-0.0088,0.0067,0.0001,0.0094,0.0,-0.0346,0.0,0.0226,0.0,0.0,0.0008,0.0038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,356.0,360.0,344.0,352.0,299200,0.0,0.0,-0.0006,-0.0071,0.0001,0.0,0.0,0.0,0.0,-0.0205,0.0,0.0,0.0442,0.0239,0.0,0.0,0.0163,0.0198,-0.0036,0.0,0.0,-0.0127,0.0,0.0,0.0,0.0,-0.0496,-0.0,-0.0103,0.0
2026-07-15,368.0,368.0,346.0,346.0,353500,0.0,0.0,-0.0058,-0.0168,0.0,-0.0223,0.0,0.0,-0.0314,0.0452,-0.0004,0.0,0.0,0.034,-0.0059,0.0,0.0,0.0,-0.0002,-0.0023,-0.0014,-0.0356,-0.0003,0.0432,0.0,-0.0001,0.0,0.0,0.0,0.0
2026-07-16,370.0,376.0,348.0,376.0,213800,0.0,0.0,-0.0074,0.0032,-0.0,0.0,0.0,0.0464,0.0,0.0004,0.0007,-0.0004,-0.0462,0.003,0.0003,-0.0003,0.0213,-0.0211,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,374.0,374.0,358.0,370.0,197900,0.0188,-0.0,0.0005,-0.0035,0.0001,-0.0178,-0.0037,-0.0467,0.0528,-0.0004,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,366.0,374.0,360.0,374.0,337500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,364.0,380.0,358.0,376.0,283600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,368.0,374.0,364.0,364.0,172800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,374.0,378.0,358.0,370.0,121000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,382.0,384.0,374.0,382.0,219500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
