Date,Close,High,Low,Open,Volume,DH,PD,XL,CC,AK,NI,EP,KK,SF,XC,DR,SQ,AZ,YP,LG
2026-07-13,276.0,280.0,274.0,276.0,6300,0.0,0.0,-0.0014,0.0003,0.0,0.0,0.0007,-0.0,0.0,0.0003,0.0,0.0,0.0001,0.0,0.0
2026-07-14,282.0,282.0,274.0,274.0,48200,0.0,0.0003,0.0032,0.0003,0.0,0.0001,-0.0096,-0.0003,-0.0029,0.0086,-0.0,0.0,0.0,0.0004,0.0
2026-07-15,278.0,282.0,276.0,282.0,41900,0.0001,0.0003,0.0002,0.0028,0.0,0.0001,-0.001,0.0,-0.0098,0.0048,0.0,0.0,0.0015,0.001,0.0001
2026-07-16,276.0,284.0,276.0,284.0,35000,0.0,-0.0008,-0.0,0.0001,0.0,0.0,0.0,0.0,-0.0064,0.0057,0.0003,0.0001,0.001,0.0,0.0
2026-07-17,278.0,284.0,276.0,280.0,37800,-0.0002,0.0,0.0029,0.0002,-0.0001,0.0001,0.002,0.0002,-0.0058,0.0006,0.0,0.0,0.0,0.0,0.0
2026-07-20,282.0,284.0,276.0,278.0,35500,,,,,,,,,,,,,,,
2026-07-21,280.0,282.0,276.0,276.0,75700,,,,,,,,,,,,,,,
2026-07-22,280.0,282.0,278.0,280.0,90400,,,,,,,,,,,,,,,
2026-07-23,280.0,286.0,280.0,280.0,91200,,,,,,,,,,,,,,,
2026-07-24,280.0,282.0,276.0,280.0,51700,,,,,,,,,,,,,,,
