Date,Close,High,Low,Open,Volume,OD,XC,XL,CC,YP,NI,PD,XA,KK,QA,RO
2026-07-13,210.0,214.0,204.0,208.0,27100,0.0003,-0.0003,-0.0005,-0.0004,0.001,-0.0,0.0,0.0,0.0,0.0,-0.0001
2026-07-14,214.0,214.0,206.0,212.0,75900,-0.0019,-0.006,-0.0031,-0.0014,0.0001,0.0033,0.0082,0.0,0.0,0.0009,0.0
2026-07-15,212.0,214.0,206.0,214.0,35100,-0.0,-0.0038,-0.0008,0.004,0.0,0.0026,-0.002,0.0,0.0,0.0,0.0
2026-07-16,210.0,212.0,204.0,212.0,34800,-0.0002,-0.0003,0.0023,-0.0027,0.0026,0.001,-0.0003,0.0,-0.0027,0.0,0.0
2026-07-17,212.0,212.0,202.0,208.0,59700,0.0005,-0.0088,0.0035,0.0016,0.0019,0.0011,0.0001,0.0,0.0,0.0,0.0
2026-07-20,212.0,212.0,208.0,212.0,12400,,,,,,,,,,,
2026-07-21,214.0,214.0,210.0,212.0,117000,,,,,,,,,,,
2026-07-22,214.0,220.0,212.0,212.0,62000,,,,,,,,,,,
2026-07-23,212.0,218.0,212.0,214.0,29800,,,,,,,,,,,
2026-07-24,218.0,224.0,202.0,212.0,387600,,,,,,,,,,,
