Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,OD,XL,PD,FZ,DR,CC,EP,YP,XA,NI,AT,ID,XC,SQ,RG,BQ,DH,YU,AG,KK
2026-07-13,180.0,185.0,176.0,185.0,8700,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0,-0.0,-0.0007,0.0,0.0,0.0008,0.0,300.0,-0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,181.0,184.0,180.0,184.0,12300,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0,-0.0004,0.0,0.0,0.0,0.0004,0.0,-0.0004,-0.0005,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0011,0.0,0.0
2026-07-15,181.0,182.0,181.0,181.0,12100,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0,0.0,0.0,0.0,0.0,-100.0,0.001,0.0,-0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,182.0,185.0,181.0,182.0,66700,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0,0.001,0.0,0.0,-0.0004,0.0073,-0.001,-0.0072,-0.0001,-0.0002,0.0,0.0,-0.0003,0.0,0.0,0.0,0.001,0.0,0.0,0.0
2026-07-17,183.0,189.0,181.0,189.0,17000,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0002,0.0014,0.0001,0.0001,0.0,-0.0014,0.0,-0.0001,-0.0006,-0.0,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,181.0,184.0,181.0,183.0,20500,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,179.0,187.0,177.0,184.0,19200,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,183.0,183.0,179.0,179.0,12800,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,181.0,183.0,178.0,183.0,87400,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,182.0,188.0,180.0,181.0,43300,,,,,,,,,,,,,,,,,,,,,,
