Date,Close,High,Low,Open,Volume,BB,CP,XL,CC,YP,PD,KI,AO,KK,AT,SH,XC,SQ,OD,BQ,AK,NI,YU,AZ,ZP,LG,RF,RO,DH,MG,DR,EP,TP,FZ,BR,IF,AG,AI,YB,DX
2026-07-13,208.0,208.0,200.0,206.0,502400,0.0,0.0,0.0126,0.0084,0.01,0.0009,0.0,0.0078,0.0,0.0003,0.0061,0.0004,-0.0001,0.0007,0.0041,0.0093,0.0085,0.0,0.0,0.0001,-0.1014,0.0081,0.0001,0.0243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
2026-07-14,204.0,208.0,202.0,206.0,787600,0.0,0.0,0.0338,0.0045,0.01,0.0007,0.0,0.0041,0.0009,0.0,0.0,0.0013,0.002,0.0001,0.0,0.0076,0.007,0.0001,0.0,0.003,-0.1021,0.0036,0.0001,-0.008,0.0,0.002,-0.0008,0.0298,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0
2026-07-15,206.0,206.0,202.0,206.0,612800,0.0,0.0202,0.0028,0.0064,0.0143,0.0004,0.0,0.0026,0.0042,0.0,0.0,0.0089,0.0,0.0007,0.006,0.0088,0.0006,0.0,0.0,0.0275,-0.1019,0.0,0.0,-0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,0.0001,0.0,0.0
2026-07-16,212.0,212.0,204.0,206.0,1150100,0.0,-0.0255,0.0127,0.0194,-0.004,-0.0062,0.0,0.0301,0.0156,0.0,0.0,-0.0109,0.0,0.0127,-0.0061,0.0089,0.0004,0.0,-0.0,0.0252,-0.1035,0.0249,0.0002,-0.0531,0.0,0.0125,-0.0,0.0263,-0.0002,0.0206,0.0,0.0,0.0,0.0,0.0
2026-07-17,214.0,220.0,208.0,210.0,5078700,-0.778,600.0,0.0936,0.0401,0.0111,0.0015,0.1999,-0.0157,0.01,-0.0006,0.0037,0.0079,0.0464,0.0081,0.0007,0.0114,-0.0025,-0.0001,0.5251,-0.0256,-0.1066,-0.0023,0.0,-0.0281,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,210.0,218.0,208.0,218.0,1344200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,208.0,212.0,208.0,212.0,1234600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,210.0,210.0,206.0,210.0,631200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,208.0,212.0,208.0,210.0,1960800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,208.0,210.0,206.0,210.0,727700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
