Date,Close,High,Low,Open,Volume,XL,CC,YP,NI,XC,AZ,PD,BQ,MU,YB,QA,EP,YO,KK,PO,AK,AG,CP,YU
2026-07-13,550.0,570.0,540.0,550.0,76400,0.0145,0.004,0.0,0.0003,0.0006,-0.0,0.0088,0.0012,0.0,0.0009,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,-0.0308,-0.0002
2026-07-14,560.0,610.0,540.0,560.0,25200,-0.006,0.0044,-0.0001,0.0027,0.0006,-0.0,-0.0007,-0.0015,0.0,0.0007,0.0001,0.0,0.0,0.0,0.0,0.0001,-0.0002,0.0,0.0
2026-07-15,560.0,580.0,540.0,560.0,30200,-0.003,-0.0046,0.0007,0.0005,0.0006,0.0,0.0007,0.0,0.0,0.0048,-0.0001,0.0011,-0.0033,0.0022,0.0003,0.0,0.0,0.0,0.0
2026-07-16,580.0,585.0,555.0,555.0,24400,-0.0026,-0.0006,-0.0009,-0.0021,-0.0007,0.0,-0.0001,-0.0001,0.0068,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,580.0,580.0,580.0,580.0,7900,-0.0036,0.0003,-0.0001,-0.0002,0.0036,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,580.0,580.0,555.0,575.0,3700,,,,,,,,,,,,,,,,,,,
2026-07-21,590.0,610.0,555.0,575.0,37700,,,,,,,,,,,,,,,,,,,
2026-07-22,590.0,615.0,570.0,615.0,106100,,,,,,,,,,,,,,,,,,,
2026-07-23,620.0,640.0,560.0,590.0,571900,,,,,,,,,,,,,,,,,,,
2026-07-24,600.0,630.0,575.0,630.0,14300,,,,,,,,,,,,,,,,,,,
