Date,Close,High,Low,Open,Volume,NI,PD,XL,CC,YP,EP,XC,ZP,DR,AT,LS,CP,GR,BQ,KK,RO,SQ
2026-07-13,575.0,575.0,555.0,575.0,54500,0.0,-0.0037,-0.01,0.0244,0.0011,0.0001,-0.0022,0.0003,0.0,0.0,0.0,-0.0022,0.0,0.0,-0.0011,-0.005,-0.0016
2026-07-14,570.0,580.0,560.0,575.0,30100,0.0,0.0,0.0015,0.0001,0.0,0.0022,-0.0017,0.0003,0.0,0.0002,0.0007,-0.0027,-0.0004,-0.0001,0.0,0.0,0.0
2026-07-15,565.0,575.0,555.0,570.0,32200,0.0,-0.0012,-0.004,0.0042,0.0028,0.0033,-0.0059,0.0003,0.0001,-0.0002,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,570.0,575.0,560.0,565.0,22400,0.0,0.0,-0.0106,0.0025,0.0,0.0069,0.001,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,570.0,575.0,560.0,575.0,43200,0.0129,-0.0064,-0.0024,-0.0096,0.0,0.0055,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,565.0,570.0,555.0,570.0,24800,,,,,,,,,,,,,,,,,
2026-07-21,575.0,575.0,565.0,570.0,37100,,,,,,,,,,,,,,,,,
2026-07-22,575.0,575.0,570.0,575.0,81400,,,,,,,,,,,,,,,,,
2026-07-23,575.0,585.0,570.0,580.0,22300,,,,,,,,,,,,,,,,,
2026-07-24,570.0,575.0,550.0,575.0,72400,,,,,,,,,,,,,,,,,
