Date,Close,High,Low,Open,Volume,CP,PD,IF,XL,XA,CC,YP,KI,DR,AG,EP,KK,AT,XC,SQ,TP,OD,QA,BQ,AK,NI,AZ,YB,ZP,PO,HP,BR,GA,BK,RO,MG,GR,GI,LG,DH,YJ,PC,SH,DU
2026-07-13,127.0,138.0,107.0,109.0,29293200,0.0044,-0.0063,0.0,0.1189,-0.0008,-0.0742,0.0068,-0.0001,0.0022,-0.0026,-0.0115,0.0086,0.0081,-0.0021,-0.0223,0.0347,0.0143,0.0001,-0.0072,0.0,-0.1032,-0.0495,-0.0024,0.0013,-0.0003,-0.0115,0.0276,0.0018,0.0,0.0,0.0037,-0.0075,0.0548,-0.004,0.0055,0.0127,-0.0,0.0001,-0.0
2026-07-14,130.0,135.0,118.0,127.0,13101300,-0.0028,0.0407,0.0,-0.1833,0.0006,0.0641,0.0027,-0.0001,-0.0,-0.0001,0.0002,-0.0096,0.0,0.0007,0.0,0.0017,-0.0021,-0.0001,0.0058,0.0,-0.0023,0.1047,0.007,0.0,0.0431,0.0013,-0.0004,0.0004,0.0,0.0009,-0.0137,0.0001,-0.0462,0.0,0.0,-0.013,0.0,0.0,0.0
2026-07-15,128.0,132.0,125.0,129.0,13935100,0.0,-0.0013,0.0,-0.1134,-0.0006,0.0077,0.0013,0.0,-0.0026,0.0009,0.0,0.0,-0.0003,-0.0003,0.0,0.0,-0.0135,0.0,-0.0015,0.0997,-0.0004,0.0378,0.0004,0.0,-0.0003,0.0003,-0.0128,0.0,0.0,-200.0,0.0003,-0.0005,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,144.0,146.0,127.0,131.0,13537000,0.0059,-0.0475,0.0,-0.0793,-0.0001,0.015,0.0023,0.0004,0.0,-0.0298,-0.0005,-0.0096,0.0085,-0.0826,-0.0043,-0.0207,0.0165,0.0,-0.0026,0.2486,-0.0107,0.0767,-0.0196,0.0092,-0.0607,-0.0114,0.0106,0.0014,0.0,0.0,0.0002,-0.0132,-0.003,0.0057,-0.0056,0.0,0.0,0.0,0.0
2026-07-17,144.0,148.0,140.0,146.0,11663400,-0.0059,0.0035,0.0209,-0.0386,0.0,-0.0443,-0.0084,0.0003,-0.0005,0.014,-0.0012,-0.0007,-0.0086,0.0467,-0.0003,0.021,-0.0329,-0.0,-0.0009,0.0091,0.0015,0.0015,0.0121,0.0101,-0.0006,-0.0,-0.0009,0.0006,0.0017,0.001,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,148.0,151.0,142.0,144.0,11003500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,144.0,150.0,140.0,148.0,9462200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,149.0,150.0,142.0,144.0,9240400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,146.0,152.0,144.0,152.0,11259200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,142.0,147.0,137.0,147.0,7980900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
