Date,Close,High,Low,Open,Volume,SQ,TP,XL,PD,YB,LS,ZP,EP,KK,DH,AK,AT,LG,YU,BQ,OD,GR,YP,XC,HD,DX,SF,CC,DR,RO,NI,KI,RX,BK,AG,AZ,CP,RG,AI,MG,XA,KZ,IN
2026-07-13,1715.0,1720.0,1690.0,1710.0,1306800,-0.3932,0.0,-0.0193,0.6959,0.0086,0.0,-0.1086,0.0,-0.0002,0.0084,-0.0752,0.0005,0.0005,-0.1436,0.0003,0.0132,0.0,0.054,-0.476,0.001,0.0014,0.0,0.0787,-0.0129,0.001,-0.0101,0.0086,0.0,-0.0858,0.2853,-0.0002,-0.0,0.0017,-0.0017,0.0,-0.001,0.0838,0.0848
2026-07-14,1725.0,1725.0,1705.0,1715.0,590800,0.0835,-0.0122,0.0948,-0.0118,0.0,0.0,0.0003,-0.0019,-0.0178,-0.0009,0.1071,0.0,-0.023,-0.0209,0.0,-0.012,-0.0115,-0.0518,-0.348,-0.001,-0.0007,0.0,0.2355,0.0,0.0,-0.0048,0.0,0.0,-0.0043,0.0009,0.0003,-0.0019,0.0,0.0,0.0017,0.0,0.0,0.0
2026-07-15,1740.0,1750.0,1715.0,1725.0,773700,0.5228,0.0026,-0.2162,-0.004,0.0,0.0,-0.0023,0.0002,0.0659,0.0,-0.0929,0.0003,-0.0,0.0016,0.0007,0.0111,0.0,0.0378,-0.2817,0.001,0.0024,0.0,-0.026,-0.0078,0.0002,-0.0133,0.0,0.0,0.0031,-0.0029,-0.0035,0.0024,0.0003,-0.0017,0.0,0.0,0.0,0.0
2026-07-16,1745.0,1755.0,1725.0,1740.0,542800,-0.0028,-0.0009,0.0613,0.3216,0.0,0.0,-0.0025,0.0007,0.0119,0.0,-0.0247,0.0002,0.0002,-0.052,0.0016,-0.0719,-0.0017,-0.0073,-0.0805,-0.0,0.0,0.0,-0.0039,0.0,0.0,0.0003,-0.001,-0.1504,0.0012,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1750.0,1760.0,1740.0,1750.0,1292600,0.0658,-0.0018,0.4499,1.0,-0.0054,0.0002,-0.0002,-0.0016,0.0017,-0.0167,-1.2,0.0033,0.0002,0.001,0.0014,-0.0144,-0.0176,0.0474,-0.0065,-0.0011,0.0009,0.0004,-0.3184,0.0023,0.0002,-0.0047,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1760.0,1760.0,1745.0,1750.0,439300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1760.0,1770.0,1755.0,1760.0,523200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1760.0,1760.0,1730.0,1760.0,757300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1745.0,1765.0,1740.0,1760.0,751300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1730.0,1750.0,1725.0,1745.0,1542600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
