Date,Close,High,Low,Open,Volume,TF,FZ,SA,PD,XL,PI,XA,BR,ZP,DH,AK,IH,YU,RG,HD,IN,OD,YP,BQ,XC,PC,BK,SF,EL,CC,SH,MG,DU,ZR,AZ,IF,RO,IU,NI,PG,EP,QA
2026-07-13,224.0,228.0,218.0,222.0,13038400,-0.0064,-0.002,0.033,0.0011,-0.0092,-0.0008,0.0002,0.0006,0.0002,-0.0001,-0.0023,0.0003,0.0002,0.0311,0.0006,0.0124,0.0,0.0,-0.0823,0.0001,-0.0339,0.0073,0.0,0.0281,-0.0055,-0.0092,0.024,0.039,0.0007,-0.0325,0.0,0.0,-0.0234,-200.0,0.0287,0.0,0.0
2026-07-14,222.0,228.0,218.0,224.0,11107900,-0.0007,0.0093,-0.0472,0.0002,0.0065,-0.0302,0.0434,0.0011,0.0223,0.0058,0.0026,0.0424,0.0178,-0.0705,-0.0008,-0.025,0.0,0.0001,0.095,0.006,0.025,-0.0068,0.02,0.0,-0.0056,0.0014,-0.0357,-0.0802,-0.0003,0.0176,0.0,0.0022,0.0154,0.0,-0.0311,-0.0,0.0
2026-07-15,224.0,228.0,218.0,222.0,15501600,0.0033,0.0074,-0.0212,-0.0006,-0.0069,0.0218,-0.0168,-0.0005,0.0128,-0.0059,0.0227,-0.0007,-0.0073,0.0313,-0.0001,-0.0115,0.0022,-0.0094,-0.0211,-0.0053,-0.006,-0.0015,0.0145,-0.021,0.0028,-0.0046,0.0147,-0.0008,0.0002,0.0,0.0,0.0037,0.0,0.0005,0.0033,0.0,0.0
2026-07-16,220.0,224.0,218.0,224.0,6147900,-0.0059,-0.0113,0.0,0.0002,0.0401,-0.02,-0.0115,0.0014,-0.0426,-0.0001,0.0466,-0.0291,0.0,-0.044,0.0,0.0,0.0,0.0,0.0489,0.0131,0.0502,0.0191,0.0,0.0,-0.0007,-0.0029,-0.0064,-0.0141,0.001,-0.0174,-0.0001,0.0011,-0.0153,-0.0,0.0,0.0,0.0
2026-07-17,216.0,222.0,216.0,220.0,10982200,-0.0046,-0.0005,0.0352,0.0001,-0.0015,0.0123,0.0174,-0.0011,0.0327,-0.0001,-0.0277,0.0019,0.0218,0.044,0.003,0.0442,0.0018,0.0001,-0.1714,-0.0038,-0.0059,-0.0386,0.0118,-0.0027,-0.0028,0.0095,0.0019,0.0236,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,220.0,224.0,216.0,216.0,8318500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,220.0,224.0,218.0,220.0,9200100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,228.0,232.0,218.0,220.0,22229900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,224.0,232.0,222.0,228.0,14150400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,218.0,224.0,218.0,224.0,7875600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
