Date,Close,High,Low,Open,Volume,CD,SQ,TP,TF,XL,PD,XA,YB,AZ,EP,DH,KK,AK,AT,LG,XC,GR,OD,HD,AO,BQ,IF,YP,CP,AI,BK,HP,SF,RO,CC,DR,NI,ZP,MG,KI,LS,YU,DX,QA,ZR,ID,YJ,BS,IN,IU,BR,AG
2026-07-13,370.0,380.0,348.0,360.0,40506100,-0.0413,0.0424,0.2307,0.0015,0.8998,0.1396,-0.0335,-0.053,-0.0066,0.0274,-0.0006,0.0244,0.2997,0.014,-2.4,0.1131,-0.0063,0.0829,0.0066,-0.0004,0.0931,-0.0728,0.4592,-0.1727,0.0018,0.0388,0.0164,0.0,-0.0002,-0.1613,-0.1219,-0.1154,0.1779,-0.2288,0.0532,0.0,-0.0018,-0.0021,0.0034,0.0,0.0,-0.0013,0.0,0.7422,-0.0087,-0.0111,-0.0036
2026-07-14,362.0,388.0,360.0,370.0,35348900,0.0693,0.266,0.0235,0.0,0.8103,0.6012,0.161,0.2765,-0.0108,0.046,0.1572,0.3288,-0.3847,0.1316,-3.6,-0.0988,0.0456,-0.0863,-0.0031,0.0,-0.0899,0.1541,0.1238,0.6434,0.2611,-0.0423,0.0238,0.0,0.0,0.0137,-0.0256,0.0737,0.028,-0.064,0.024,0.0,0.0206,-0.0022,0.0113,0.0,0.0362,0.0378,-0.0011,0.0,0.0,0.0,0.0
2026-07-15,364.0,368.0,352.0,362.0,8342800,-0.0012,0.0544,-0.0009,0.0,-0.183,0.0467,0.1995,0.0264,0.072,0.1054,0.0689,-0.0215,-0.0649,0.0013,0.0035,0.0296,0.1163,0.1857,-0.0037,0.0,-0.0007,0.0009,-0.2574,0.029,0.0,-0.0176,-0.0,0.0,0.0018,-0.1996,0.1703,-0.0491,-0.221,0.0,-0.0951,0.0072,0.0074,-0.0003,-0.0114,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,360.0,368.0,354.0,364.0,6257000,0.0015,0.3671,0.0,0.0,0.2642,0.0986,0.0415,0.0384,0.0153,-0.1,-0.0784,0.02,0.0899,0.012,0.0143,0.0004,-0.0155,0.0029,0.0,0.0002,-0.3183,-0.0047,-0.2306,-0.0682,0.0,-0.0848,0.0081,0.0,0.0,-0.0554,-0.0054,-0.0216,0.0149,0.0004,-0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,356.0,362.0,354.0,358.0,3451600,0.0198,-0.003,0.036,-0.0014,-0.098,0.0086,0.031,0.0269,-0.0034,0.0714,0.0021,0.0039,-0.0405,0.0032,0.0288,0.0508,0.0361,0.0079,0.0019,0.0018,0.0005,0.0009,-0.0503,-0.0198,-0.0045,-0.1128,-0.0045,-0.0004,0.0018,-0.028,-0.0067,0.0398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,370.0,376.0,360.0,360.0,13481400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,376.0,380.0,368.0,370.0,11374400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,390.0,400.0,376.0,378.0,26087600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,434.0,446.0,396.0,398.0,32796400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,426.0,436.0,408.0,434.0,17773300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
