Date,Close,High,Low,Open,Volume,SQ,TP,XL,PD,YB,AZ,ZP,EP,KK,AT,YU,OD,XC,GR,AO,HD,YP,IF,DX,CC,DR,QA,NI,DH,LG,CP,KI,XA,BK,SF,BQ,RO,KZ,AK,IN,ES
2026-07-13,580.0,580.0,575.0,575.0,583100,-0.0043,-0.0001,0.0105,-0.0216,-0.0146,0.0,0.0,0.0005,0.0048,0.0003,0.0,-0.0001,-0.0349,0.0,0.0001,-0.0002,0.0004,0.0002,0.0,-0.0224,0.0,0.0,0.0086,0.0,0.0,0.0,0.0001,0.1155,0.0,0.0,0.0002,0.0002,0.04,-0.0717,0.0001,-0.0116
2026-07-14,585.0,585.0,575.0,580.0,584300,0.0017,0.0,0.1484,-0.0159,0.0,0.0,0.0,-0.0023,-0.0049,0.0,-0.0229,-0.0099,0.0077,-0.1497,0.0001,0.0,0.0106,0.0,0.0,0.0063,-0.0001,0.0,0.0331,0.0005,0.0,0.0006,0.0001,0.0,0.0,0.0006,-0.0042,0.0003,0.0,0.0,0.0,0.0
2026-07-15,590.0,590.0,580.0,585.0,783800,0.0004,0.0,0.1413,-0.0024,-0.0023,0.0,0.0,0.0,-0.0057,0.0,-0.0088,0.0091,0.002,-0.2908,0.0001,-0.0006,0.0172,0.0,0.0,0.0408,-0.0001,0.0,-0.0181,0.0002,0.0,0.0,0.0,0.117,0.0001,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,585.0,590.0,580.0,590.0,894000,0.0013,0.0878,0.1899,0.0182,0.0,-0.0005,0.0,-0.0055,-0.0008,0.0008,-0.0089,0.0008,0.0378,-0.3838,0.0001,0.0001,-0.0015,0.0,0.0,0.0595,0.0,0.0,0.0036,0.0012,-0.0001,-0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,590.0,595.0,580.0,585.0,906800,-0.0012,0.0001,0.0787,0.0047,0.0056,-0.0002,0.3124,0.0052,-0.0161,-0.0295,0.0016,0.0002,-0.0026,-0.3621,0.0001,-0.0007,-0.0051,-0.0001,0.0009,0.0011,-0.0023,-0.0004,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,590.0,595.0,580.0,590.0,883500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,595.0,595.0,590.0,590.0,314400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,600.0,600.0,590.0,590.0,1073800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,605.0,615.0,590.0,600.0,1508100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,595.0,605.0,590.0,605.0,745600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
