Date,Close,High,Low,Open,Volume,XA,YB,AZ,II,PG,DH,ZP,AK,MI,AT,HD,GR,AO,AI,YP,EL,ES,CC,RO,NI,AD,CD,SQ,TP,XL,PD,MU,YJ,EP,KK,LG,BQ,OD,XC,CP,DX,DR,MG,QA,KI,IF,FZ,YU,TF,FS
2026-07-13,61.0,62.0,51.0,54.0,69432100,-0.037,0.0081,-0.3791,0.0,-0.0178,0.0015,-0.0004,0.0007,-0.0219,-0.0077,0.0,0.0006,-0.0835,0.0,0.0853,-0.003,0.0,0.3431,-0.0001,-0.0053,0.0,-0.0073,0.0576,0.0016,0.1599,-0.0386,0.006,0.301,-0.0002,-0.1888,-0.1146,0.0003,0.0092,-0.0028,0.031,-0.0598,0.0074,-0.0094,0.0,-0.0286,-0.0061,-0.0005,0.0,-0.0007,-0.0002
2026-07-14,61.0,63.0,58.0,62.0,21266700,0.0678,-0.0003,0.0292,0.0,-0.0032,-0.0022,-0.0,0.0005,-0.0016,0.0,0.0,-0.0011,0.1172,-0.0001,-0.1355,0.0,0.0,0.0219,0.0,0.0102,0.0,0.003,-0.0201,0.0197,-0.1706,-0.0208,0.0,-0.061,-0.0,0.0471,0.0934,-0.0031,-0.0005,-0.0511,0.0655,0.0,0.0019,-0.007,-0.0001,0.001,0.0001,0.0,0.0,0.0,0.0
2026-07-15,57.0,61.0,57.0,61.0,13558800,0.1221,-0.0,-0.0173,0.0,0.0,-0.0001,0.0,0.0004,0.0044,0.0,0.0,0.0074,-0.0059,0.0,-0.0555,-0.003,0.0,0.0204,0.0,0.0595,0.0,0.0,0.0011,-0.0003,-0.1524,0.0097,0.0,-0.06,-0.0,-0.0265,0.0892,0.0018,0.0001,-0.0059,-0.0671,0.0,-0.0,0.0479,0.0004,0.0295,-0.0001,0.0001,0.0,0.0,0.0
2026-07-16,59.0,61.0,57.0,57.0,6254500,0.045,-0.0058,-0.0232,0.0,0.0,-0.0003,0.0,0.0001,0.0,0.0,0.0,0.0244,-0.0016,0.0012,0.0086,0.0,0.0,-0.0273,0.0037,-0.0198,0.0,0.0,0.0166,0.0,0.0376,-0.0112,0.0,0.0,-0.0003,-0.0251,0.0003,0.0016,-0.006,0.0034,-0.0173,0.0,0.0005,-0.0052,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2026-07-17,67.0,79.0,58.0,58.0,153185800,-0.0206,0.0379,-1.1,-0.0076,-0.0222,0.0136,-0.1607,0.0006,-0.0352,-0.0317,0.0121,-0.0297,0.01,0.0023,-0.1071,-0.0192,-0.0074,-0.2558,-0.0039,-0.0734,-0.0126,-0.0038,-0.1568,-0.0529,0.7001,0.1549,-0.0065,-0.6198,0.0105,-0.2813,2.1,0.0217,0.0195,-0.0219,-0.0746,0.0009,-0.0077,0.0515,0.0003,-0.03,0.0,0.0,0.0,0.0,0.0
2026-07-20,77.0,83.0,70.0,71.0,278499400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,71.0,75.0,69.0,75.0,73280700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,71.0,73.0,69.0,72.0,30328000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,69.0,73.0,68.0,73.0,37132800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,72.0,72.0,66.0,66.0,19332600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
