Date,Close,High,Low,Open,Volume,HD,XL,PD,JB,EP,YU,XC,CP,MG,SQ,LG,TP,HP,KI,RO,DX,XA,QA,GR,FZ,YB,SA,CC,KK,DH,AZ,NI,BQ,BK,AG,AH,AI,AT,YJ,YP,ZP,AK,IF,OD,DR,SF,AO,ES,FS,LS,CD,PO,PC,AR,TF,RX
2026-07-13,595.0,600.0,545.0,560.0,22646000,-0.0149,-1.4,-0.1526,0.0,-0.2326,-0.1284,-0.4908,-0.2783,0.0259,0.0705,-0.0089,0.0,0.0088,-0.0326,0.0186,-0.0105,0.2055,0.0,-0.1049,0.0,0.9522,0.0,0.3872,-0.0135,-0.0231,0.0015,-0.1646,0.9169,-0.2456,-0.0455,0.0,0.0215,-0.0489,-0.015,-0.7468,-0.1121,0.7227,0.0019,-0.0674,-0.0952,-0.0105,0.0,-0.0059,0.0,0.0,0.0,0.0,0.0,-0.0176,0.0025,1.1
2026-07-14,580.0,605.0,580.0,600.0,13073600,0.003,1.4,-0.3859,0.0,0.0567,-0.0084,0.3205,0.018,0.0237,-0.0721,0.027,-0.0006,0.0797,0.0338,0.0366,0.0118,-0.0057,0.0,-0.208,0.0,1.1,0.0,-2.0,-0.0183,0.0333,0.019,0.0257,0.1477,-0.5976,0.0,0.0,0.0,0.0382,0.0713,0.2293,0.0,-0.8194,0.0015,0.2676,0.1218,0.0,0.0,0.0,0.0,0.0044,0.0087,0.0,0.025,0.0,0.0,0.0
2026-07-15,585.0,595.0,570.0,585.0,10031800,-0.0031,-0.3905,0.2254,0.0,0.0287,0.0,0.2111,-0.0127,-0.0766,-0.0253,0.3992,-0.0279,-0.0592,0.0301,-0.0223,0.0058,0.0003,-0.0054,-0.0109,-0.0006,-0.2772,0.0,0.7103,0.006,-0.0018,-0.0137,-0.1249,-0.6868,-0.0229,-0.0023,0.0,0.0,0.0,0.0976,-0.0749,0.0,0.0822,0.0007,-0.0978,-0.0065,-0.0003,0.0,0.0,0.0,0.2043,-0.006,-0.0021,-0.0495,0.0,0.0,0.0
2026-07-16,590.0,600.0,570.0,580.0,9838300,0.0022,-1.0,0.0237,0.0,0.2491,0.0489,-0.1139,-0.1618,0.0213,-0.4879,0.1913,-0.0028,-0.014,0.0,-0.0119,0.0238,-0.0677,-0.0004,-0.0153,0.0,0.0489,0.0,1.4,-0.2362,0.0021,-0.0059,-0.1461,0.0053,-0.093,0.0,0.0,-0.0295,0.0197,-0.1611,0.0183,-0.0342,0.6106,0.0,-0.0738,0.0097,-0.0001,0.0003,-0.0001,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,590.0,610.0,580.0,595.0,14749600,-0.0026,-0.2186,0.0352,0.0001,0.4304,-0.0904,0.0831,0.6426,0.0307,-0.1757,0.0103,0.0054,-0.0694,0.0107,0.006,-0.003,0.2203,-0.0009,0.0174,0.0001,-0.0238,0.0017,-0.6557,0.0891,0.0512,0.0971,0.0373,-0.3525,-0.1535,0.0018,0.0059,0.3116,0.0352,-0.0077,0.3746,-0.095,-1.1,-0.0018,-0.0415,0.5088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,580.0,605.0,580.0,590.0,12330800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,600.0,605.0,580.0,580.0,18815100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,605.0,620.0,590.0,605.0,18426500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,600.0,625.0,595.0,610.0,23049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,590.0,600.0,570.0,600.0,15377300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
