Date,Close,High,Low,Open,Volume,XL,PD,GR,XC,MG,DH,CC,HP,OD,KI,DR,EP,YP,NI,YB,AZ,KK,XA,MU,SQ,CP
2026-07-13,31.0,32.0,30.0,30.0,760800,0.0067,-0.0006,-0.0003,-0.0,0.0,0.0,-0.0063,0.0011,0.0,0.0,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003
2026-07-14,33.0,33.0,32.0,32.0,667100,0.0011,0.0003,0.0,0.0015,0.0,-0.0,-0.0066,0.0,0.0,0.0,0.0007,-0.0001,0.0099,0.0,0.0,0.0,0.0,-0.0007,-0.0063,0.0003,0.0
2026-07-15,33.0,35.0,33.0,35.0,1012300,0.0026,-0.0066,0.0004,-0.0026,0.0,-0.0,0.013,0.0,-0.004,0.0,0.0,-0.0051,0.0027,-0.0008,-0.0007,0.0,0.0012,0.0,0.0,0.0,0.0
2026-07-16,30.0,33.0,30.0,33.0,1534400,-0.0397,0.001,0.0009,0.0,0.0009,0.0,-0.0057,0.0,0.0,0.0,-0.0003,-0.0003,0.0033,0.0398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,32.0,32.0,31.0,32.0,170900,-0.0003,0.0004,0.001,0.0002,-0.0003,-0.0,-0.0009,0.0,0.0,0.0001,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,32.0,32.0,31.0,31.0,383000,,,,,,,,,,,,,,,,,,,,,
2026-07-21,31.0,32.0,31.0,32.0,1108300,,,,,,,,,,,,,,,,,,,,,
2026-07-22,30.0,32.0,30.0,31.0,3203200,,,,,,,,,,,,,,,,,,,,,
2026-07-23,32.0,33.0,32.0,33.0,391400,,,,,,,,,,,,,,,,,,,,,
2026-07-24,31.0,32.0,31.0,32.0,316300,,,,,,,,,,,,,,,,,,,,,
