Date,Close,High,Low,Open,Volume,XL,PD,YU,XC,MG,CP,SQ,DH,AZ,NI,BQ,HP,LG,KI,RO,DX,XA,QA,YB,AT,YP,CC,KK,DR,GR,YJ,ZP,AR,OD,EP,AO,TP,AG,IF,SA,MU
2026-07-13,12.0,13.0,12.0,12.0,5686900,-0.0024,0.0009,0.0,0.003,0.0316,-0.006,-0.0001,-0.0003,0.0024,0.0001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0319,0.0,0.0006,0.0013,0.0,0.0,0.0,0.0,-0.0012,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0,0.0018
2026-07-14,12.0,13.0,12.0,12.0,4283000,-0.0047,-0.0003,0.0,0.0011,-0.0091,0.0052,0.0002,-0.0005,-0.005,0.0136,-0.0048,-0.0023,0.0,-0.0012,0.0,0.0,0.0,0.0002,0.0,-0.0,0.0019,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0
2026-07-15,13.0,13.0,12.0,13.0,7418800,0.0172,0.0023,0.0,0.0096,0.0159,0.002,-0.0021,0.0,-0.005,0.0007,-0.0021,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0002,0.0019,0.0071,-0.0,0.0013,-0.025,-0.011,-0.0002,-0.0105,-0.0019,-0.0013,0.0001,0.0,-0.0001,0.0013,0.0,0.0
2026-07-16,13.0,13.0,13.0,13.0,7562000,-0.0043,0.0008,0.0021,-0.0151,0.0,-0.002,-0.0198,-0.0003,-0.0026,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,-0.0008,0.0001,0.0039,0.0,0.0,-0.0065,-0.0161,0.065,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,12.0,12.0,12.0,12.0,12513600,0.0152,0.0221,-0.0485,0.0059,0.0177,0.012,0.0051,0.0004,0.0096,-0.0437,0.0015,0.0,-0.012,0.0,-0.0,0.0003,0.006,-0.0002,0.006,0.0,0.0009,0.0029,-0.0012,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,12.0,13.0,12.0,12.0,10399800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,13.0,13.0,12.0,12.0,23040900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,12.0,13.0,12.0,13.0,62271400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,13.0,13.0,13.0,13.0,89791300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,13.0,13.0,13.0,13.0,54459900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
