Date,Close,High,Low,Open,Volume,XL,PD,CC,GR,XC,NI,DH,YP,AZ,SQ,QA,YU,ZP,BQ,EP
2026-07-13,1215.0,1235.0,1205.0,1215.0,4400,-0.0009,0.0,-0.0007,0.0001,0.0021,0.0001,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,-0.0005,-0.0001
2026-07-14,1215.0,1225.0,1190.0,1215.0,14600,-0.0036,-0.0004,-0.0065,0.0,0.0001,0.0,0.0,0.0,0.0059,0.0,-0.0016,0.0001,0.0061,-0.0001,0.0
2026-07-15,1230.0,1235.0,1210.0,1215.0,28900,0.0007,0.0,-0.0208,0.0,0.0001,0.0,0.0,-0.0111,0.0311,-0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-16,1230.0,1240.0,1220.0,1240.0,3000,-0.0004,0.0,-0.0005,0.0004,0.001,0.0,-0.001,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1230.0,1240.0,1230.0,1230.0,5500,-0.0032,0.0006,0.0005,0.0021,0.0002,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1245.0,1250.0,1240.0,1240.0,3100,,,,,,,,,,,,,,,
2026-07-21,1225.0,1255.0,1205.0,1245.0,5900,,,,,,,,,,,,,,,
2026-07-22,1220.0,1235.0,1220.0,1225.0,3100,,,,,,,,,,,,,,,
2026-07-23,1220.0,1225.0,1200.0,1220.0,12500,,,,,,,,,,,,,,,
2026-07-24,1205.0,1270.0,1200.0,1270.0,5000,,,,,,,,,,,,,,,
