Date,Close,High,Low,Open,Volume,HD,PF,XL,PD,EP,YU,XC,CP,SQ,DH,AZ,PC,NI,HP,BK,BQ,RO,TS,TP,KI,DX,XA,ID,AT,GR,FS,SH,EL,ZP,YP,AK,BR,IF,CC,OD,KK,DR,LG,AG,QA,YJ,YB
2026-07-13,5800.0,6000.0,5575.0,6000.0,6731900,0.0012,-0.0202,0.4886,0.0044,0.0,-1.6,0.238,0.2957,0.0046,0.0023,-0.0162,-0.0151,0.0053,0.0609,0.6053,-0.0016,0.0006,-5.1,0.3138,0.0,0.0,0.0129,-0.0021,0.0286,0.0,0.0027,0.0008,-0.4286,-0.5295,0.0611,1.5,0.0823,0.0,4.4,0.0354,0.0521,-0.2398,0.0,0.0,0.0,-0.0008,-0.1263
2026-07-14,6000.0,6100.0,5700.0,5825.0,5100200,-0.0012,-0.7192,0.3269,-0.0465,-0.0006,-1.2,-0.2355,-0.3046,0.0019,-0.003,0.0006,-0.5086,0.0419,-0.0147,3.2,0.0004,-0.0032,-0.0046,-2.3,0.0,0.0042,-0.0143,-0.001,-0.0152,0.0503,-0.003,-0.1613,-0.3261,-0.6229,-0.0475,3.0,-0.3354,0.0,0.3917,-0.0164,-0.0079,0.0036,-0.0023,0.0,0.0,0.0,0.0
2026-07-15,5875.0,6075.0,5775.0,6000.0,6721600,0.0,0.6642,0.3799,0.1412,0.0006,2.8,0.2042,-0.025,0.0327,0.0012,0.0006,0.5999,0.0003,0.0023,4.0,0.0068,0.0,-9.4,0.0,0.0,0.0,0.0171,-0.0031,0.0,0.0195,0.0,0.0997,0.4218,0.2748,0.0168,0.0364,0.0033,0.0,-0.0189,0.0112,0.0017,-0.0001,0.0,-0.313,0.0006,0.0,0.0
2026-07-16,5775.0,5950.0,5775.0,5900.0,7215200,0.0,-0.0121,0.099,0.055,0.0012,0.0819,0.0441,-0.0012,-0.0227,-0.0,0.001,-0.0007,0.0162,0.0,3.5,0.0032,-0.0001,-5.9,0.0194,0.0017,0.0,-0.0158,-0.0029,0.0017,0.0,0.0,0.029,0.2612,0.3296,0.0175,1.5,0.4153,0.0,-0.5561,0.0877,0.0176,0.0006,0.0023,-0.0187,0.0012,-0.0015,0.0
2026-07-17,5900.0,5900.0,5475.0,5800.0,5081100,-0.0007,0.0543,0.0452,0.028,0.0002,-0.328,-0.0714,0.0924,0.0611,-0.0019,0.0872,-0.0193,-0.0137,0.0254,2.8,-0.0073,0.0057,-0.0072,-0.0035,-0.0017,0.0068,0.0009,-0.004,0.0011,0.0,-0.0001,-0.0441,-0.0238,0.0272,-0.0642,-0.7222,0.1556,0.0064,-2.1,0.0158,0.019,0.0012,0.0,0.0,0.0,0.0,0.0
2026-07-20,5650.0,5875.0,5600.0,5850.0,4722600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,5800.0,5800.0,5525.0,5650.0,5099400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,5625.0,5825.0,5500.0,5825.0,2981600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,5600.0,5625.0,5450.0,5625.0,6572800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,5550.0,5600.0,5400.0,5600.0,7185500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
