Date,Close,High,Low,Open,Volume,BQ,AZ,XL,YU,NI,XC,RO,KK,YP,EP
2026-07-13,670.0,720.0,670.0,720.0,400,0.0,0.0,0.0001,-0.0,0.0,-0.0001,0.0,0.0,0.0,0.0
2026-07-14,720.0,720.0,615.0,615.0,1100,0.0001,0.0,-0.0,-0.0002,0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-15,790.0,790.0,670.0,670.0,2400,0.0002,0.0,-0.0002,-0.0002,0.0,-0.0004,0.0,0.0,0.0014,-0.0007
2026-07-16,775.0,790.0,770.0,790.0,500,0.0,0.0,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0,0.0
2026-07-17,750.0,820.0,750.0,820.0,5700,-0.0002,-0.0001,0.0005,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,750.0,750.0,750.0,750.0,1800,,,,,,,,,,
2026-07-21,745.0,745.0,730.0,730.0,2700,,,,,,,,,,
2026-07-22,745.0,745.0,745.0,745.0,300,,,,,,,,,,
2026-07-23,710.0,710.0,710.0,710.0,2100,,,,,,,,,,
2026-07-24,780.0,780.0,710.0,710.0,400,,,,,,,,,,
