Date,Close,High,Low,Open,Volume,YP,XL,CC,EP,GR,CP,PD,SQ,XC
2026-07-13,4920.0,4920.0,4660.0,4660.0,200,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0005
2026-07-14,4920.0,4920.0,4920.0,4920.0,0,,,,,,,,,
2026-07-15,4730.0,4900.0,4730.0,4900.0,4200,0.0,0.0062,-0.0185,0.0,0.0005,0.0005,-0.0009,0.0123,0.0
2026-07-16,4840.0,4860.0,4750.0,4750.0,1400,-0.0005,-0.001,-0.0005,-0.0005,0.0019,0.0005,0.0,0.0,0.0
2026-07-17,4740.0,4840.0,4740.0,4840.0,500,-0.0005,-0.0005,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,4870.0,4870.0,4870.0,4870.0,800,,,,,,,,,
2026-07-21,4870.0,4870.0,4870.0,4870.0,100,,,,,,,,,
2026-07-22,4920.0,4930.0,4920.0,4930.0,200,,,,,,,,,
2026-07-23,4890.0,4910.0,4760.0,4910.0,3200,,,,,,,,,
2026-07-24,4870.0,4870.0,4870.0,4870.0,100,,,,,,,,,
