Date,Close,High,Low,Open,Volume,BB,XL,PD,EP,YU,XC,MG,SQ,CP,LS,CD,TP,LG,AO,KI,RO,RG,DX,XA,YB,GR,FZ,SH,SA,CC,RX,KK,DH,AZ,ZR,NI,BQ,BK,AI,ES,AT,YJ,ZP,YP,AK,IF,OD,DR,IU,HD,HP,SS,PG,QA,DU,IN,AG,KZ,FS,TF,PO,IT,RS,RF,JB,BR
2026-07-13,3440.0,3480.0,3370.0,3480.0,24121100,-14.1,7.6,1.1,-0.0389,0.4342,1.1,1.4,2.3,2.3,0.0,0.2673,-0.7686,3.2,-0.6858,0.0,0.1471,0.0,0.0,0.0,0.94,2.0,0.0,0.0,0.0,2.3,0.0,0.2365,0.4507,0.9433,0.0,3.2,0.0,0.578,0.2369,0.344,0.6895,0.3941,-0.4475,5.4,-23.8,-0.6245,2.2,0.6651,-0.0138,-0.5037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024,-0.172
2026-07-14,3480.0,3600.0,3410.0,3440.0,62190400,5.6,3.3,-47.6,1.3,7.3,-0.4275,0.2041,-2.7,0.3977,0.0,-0.3984,5.6,-3.0,-0.9467,-1.2,-0.1544,0.0,0.0719,0.0641,0.3423,-0.877,0.1045,-0.3732,-0.7332,-12.7,-3.5,-0.4918,-0.0961,4.7,0.0,4.5,-0.7991,31.2,-0.1829,0.349,1.6,-0.0753,2.4,0.5721,3.3,-1.4,-1.2,-0.8311,0.0,0.5192,-0.066,0.0,-0.3993,0.0258,0.0,0.0,0.1979,3.2,0.1087,0.0,0.0,-0.071,-0.0706,3.5,0.0,0.0
2026-07-15,3500.0,3570.0,3460.0,3500.0,33635900,4.5,1.2,2.0,0.2593,0.0,0.2191,0.4677,2.2,-1.3,0.0,0.0,2.2,2.6,0.2917,-0.8281,-0.0042,0.0,0.0449,-0.026,-0.2994,0.3516,0.0,-0.0214,-0.005,5.3,-0.4207,0.3986,2.0,0.1175,-0.0357,-1.2,0.1033,-18.5,0.0,0.0,0.0331,-0.358,10.8,-0.8715,-16.6,-0.0074,5.0,0.1609,0.0712,0.0,-0.0216,0.0,0.0,-0.0005,0.0,0.1238,0.053,0.0,-0.105,-0.0035,0.04,0.0,0.0,0.0,0.0,0.0
2026-07-16,3570.0,3650.0,3490.0,3510.0,40766000,13.9,-3.2,-3.2,2.7,2.5,-0.1015,-0.2762,-5.1,-0.3997,0.1585,0.0,7.4,-2.8,2.2,-0.0954,0.0018,-0.363,-0.0919,0.0,1.3,0.3592,0.0,0.0,0.0,3.5,0.0,0.1017,1.8,-2.4,0.358,-3.7,0.0,-7.9,-2.1,1.1,0.0,0.3029,0.9505,-0.5931,-0.6116,0.3057,-3.3,-2.8,-0.0712,-0.8947,0.0715,7.2,-0.4372,-0.3096,-0.724,0.4544,-2.0,-3.5,0.5316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,3570.0,3610.0,3510.0,3590.0,26546300,10.4,3.2,1.2,1.2,-2.0,0.7294,0.5524,-2.3,-0.1508,-0.0015,0.0364,7.1,-0.9995,-0.9085,0.8029,0.3816,-0.0,0.1028,0.1922,0.8102,0.1421,-0.0347,-0.0002,-0.0178,-6.0,-2.4,0.5657,0.0358,0.1721,0.711,7.5,0.3579,-0.0315,-0.5105,0.357,-0.2787,0.1243,1.7,-18.8,-5.0,0.143,-1.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,3570.0,3630.0,3560.0,3580.0,28770500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,3550.0,3640.0,3540.0,3580.0,44423800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,3620.0,3680.0,3540.0,3570.0,56029300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,3690.0,3780.0,3630.0,3640.0,64666700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,3430.0,3600.0,3380.0,3500.0,75535500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
