Date,Close,High,Low,Open,Volume,XL,PD,GR,AT,XC,EP,CP,YP,CC,NI,BQ,OD,KK,DR,MG,DH,XA,YB,IF,SQ,AZ,FZ,AK,YU,LG,KI,AI,SS,YJ,RO
2026-07-13,102.0,104.0,100.0,101.0,2286900,0.0117,0.0002,0.0038,0.0,0.0046,0.0,0.0075,0.0021,-0.0087,0.0045,0.0,0.0012,-0.0335,0.0,0.0,-0.001,0.0003,0.0,-0.0001,0.001,0.0,0.0,-0.0002,0.0,0.0031,-0.0005,-0.0001,0.0042,0.0,-0.0
2026-07-14,104.0,109.0,100.0,102.0,9902300,-0.0588,0.0179,0.0486,0.0,-0.0079,-0.0006,-0.0162,-0.0598,0.0003,0.0039,0.0137,0.0146,0.0479,-0.0004,-0.0001,0.0,-0.0038,0.0003,0.0,0.0,-0.0,0.0,-0.0046,-0.0,0.0097,0.0,-0.0001,-0.0044,-0.0,0.0
2026-07-15,103.0,106.0,102.0,104.0,4604100,-0.02,0.0006,-0.0472,0.0,0.0053,0.0,-0.05,0.1132,0.0418,-0.0004,0.0002,0.0006,-0.0401,0.0001,0.001,0.0,-0.0005,0.0005,0.0,0.0021,-0.0,0.0007,-0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,104.0,105.0,101.0,103.0,5634700,-0.0762,0.0006,-0.0029,0.0,0.0009,0.0,-0.0287,-0.096,0.0026,-0.0043,0.0001,-0.0168,0.2195,-0.0001,0.001,-0.001,0.0016,-0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,105.0,106.0,103.0,103.0,3709100,0.0258,0.0267,0.0047,0.0,0.0182,-0.0,0.0002,-0.0486,-0.0011,0.0022,0.082,-0.0008,-0.1514,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,107.0,110.0,106.0,106.0,5863800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,106.0,109.0,105.0,107.0,4578600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,106.0,107.0,104.0,106.0,3277400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,106.0,109.0,105.0,106.0,6762800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,104.0,108.0,103.0,106.0,4208200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
