Date,Close,High,Low,Open,Volume,XA,XL,PD,YU,AT,YB,XC,EP,SQ,YP,CC,NI,LG,KK,OD,DX,AI,IH
2026-07-13,428.0,428.0,420.0,420.0,69600,0.0,-0.0068,0.0242,0.0001,0.0,0.0,-0.0,-0.001,-0.0113,-0.0011,-0.0039,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0001
2026-07-14,418.0,428.0,416.0,426.0,296500,0.0,-0.102,0.0005,-0.0073,0.0,0.0,0.0,0.0017,0.0,-0.0001,0.0004,0.001,0.106,0.0,0.0,-0.0002,0.0,0.0
2026-07-15,422.0,438.0,408.0,424.0,204400,0.0,-0.0019,-0.0107,0.0002,0.0,0.0,0.0201,-0.0003,0.0015,0.0004,-0.0018,0.0021,0.0004,-0.0003,-0.0095,0.0,0.0,0.0
2026-07-16,420.0,422.0,410.0,422.0,84000,0.0,-0.0233,0.0204,0.0,0.0,0.0,0.0012,-0.0004,0.0,-0.0005,0.0012,0.0014,0.0,0.0,0.0001,0.0,0.0,0.0
2026-07-17,426.0,434.0,396.0,420.0,222800,0.0006,-0.0134,0.0029,-0.0001,0.0033,0.0002,0.0144,-0.0014,-0.0004,-0.0109,-0.0166,-0.0013,0.0226,0.0002,0.0,0.0,0.0,0.0
2026-07-20,414.0,432.0,412.0,426.0,203500,,,,,,,,,,,,,,,,,,
2026-07-21,418.0,428.0,410.0,420.0,100900,,,,,,,,,,,,,,,,,,
2026-07-22,422.0,430.0,414.0,420.0,101600,,,,,,,,,,,,,,,,,,
2026-07-23,422.0,460.0,416.0,426.0,302500,,,,,,,,,,,,,,,,,,
2026-07-24,414.0,424.0,414.0,424.0,73500,,,,,,,,,,,,,,,,,,
