Date,Close,High,Low,Open,Volume,HD,XL,PD,YU,EP,XC,SQ,CD,DH,SF,AZ,NI,TP,BQ,LG,KI,TF,PG,YB,AT,GR,AF,ZP,AK,CC,YP,OD,KK,DR,CP,MG,RX,BK,RO,AG,XA,YJ,IF,MU,DX
2026-07-13,1245.0,1255.0,1225.0,1245.0,1858200,0.0009,-0.266,-0.4152,0.1353,0.0453,-0.03,-0.0009,0.0,-0.0994,0.0001,0.0918,0.0128,0.0,-0.0,-0.0014,0.0,0.0,0.0,0.1373,0.0584,0.0246,0.0,-0.0125,-0.3204,-0.1786,0.241,0.0,-0.0313,-0.0012,0.3424,0.0019,0.0,0.0025,0.0,0.0,-0.1245,0.0,0.3903,0.0,-0.0031
2026-07-14,1275.0,1275.0,1230.0,1245.0,3404000,-0.0,0.6798,0.3512,-0.0023,-0.0338,0.09,-0.0143,0.0,0.186,0.0,0.0693,-0.0035,-0.016,0.0,0.0021,-0.0006,0.0,0.0,0.0037,-0.0854,-0.123,0.0625,-0.6637,-0.4031,0.124,-0.0178,-0.0017,0.0084,-0.0507,0.0138,0.0093,0.0,-0.0646,0.0,-0.1898,-0.7575,0.0025,0.8302,0.0,-0.005
2026-07-15,1275.0,1275.0,1255.0,1275.0,1309900,0.0005,-0.2337,0.208,0.0001,-0.0008,-0.0002,0.0307,0.0,0.0742,0.0,0.0277,0.0301,0.0013,-0.0637,0.0,0.0,0.0,0.0,-0.0585,0.0207,0.0443,0.063,-0.151,-0.1052,0.0135,-0.0872,0.017,0.0343,0.0627,-0.0515,0.008,0.0,0.0,0.0,0.0,-0.0357,0.0,0.1578,-0.0064,0.0
2026-07-16,1245.0,1275.0,1245.0,1275.0,1396400,0.1884,0.4147,0.0674,0.004,0.0,0.0279,0.0249,0.0037,0.0561,0.0,-0.0684,-0.0291,-0.0413,0.0011,0.0076,0.0,0.0,0.0,0.0306,0.152,0.0009,0.0628,-0.7383,-0.146,-0.2778,0.137,0.0009,0.0446,0.0019,0.2513,-0.0154,-0.0001,-0.0017,-0.001,0.0008,-0.1716,-0.0025,0.0151,0.0,0.0
2026-07-17,1240.0,1250.0,1235.0,1245.0,520100,-0.0,0.0016,0.0337,0.0092,-0.0001,0.066,0.0075,0.0087,0.0011,0.0001,-0.0286,0.0044,0.0145,0.0007,-0.0072,-0.0625,-0.0017,0.0442,0.0794,0.0019,0.0002,0.062,-0.1061,-0.029,-0.0807,-0.0116,0.0003,-0.0166,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1235.0,1245.0,1230.0,1245.0,844700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1235.0,1240.0,1230.0,1230.0,641900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1230.0,1240.0,1225.0,1235.0,484900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1230.0,1235.0,1220.0,1230.0,1278600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1220.0,1225.0,1210.0,1220.0,313300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
