Date,Close,High,Low,Open,Volume,XL,PD,YU,XC,SQ,CP,MG,DH,AZ,NI,HP,LG,TP,AI,XA,FZ,AT,YB,YJ,YP,AK,CC,OD,KK,DR,EP,KI,GR,BK,IF,HD,OK,AF,ZP,BQ,RO,SS
2026-07-13,1380.0,1385.0,1250.0,1270.0,1259900,-0.3802,-0.0305,0.0081,-0.0736,0.0292,-0.0018,0.0521,-0.0069,0.0053,-0.0057,-0.0001,0.0129,0.006,-0.076,0.3158,0.042,0.0782,0.0275,0.0001,-0.0119,-0.0285,-0.038,0.0016,0.0555,-0.0192,0.0076,0.0174,0.0074,0.0022,0.0,0.0,0.0,-0.0139,0.0,-0.0003,-0.0001,0.0176
2026-07-14,1380.0,1415.0,1310.0,1380.0,1132000,-0.1046,0.3869,-0.0585,-0.0109,0.0193,-0.0001,-0.664,0.0057,0.0017,0.0007,-0.0076,-0.0014,-0.0014,0.0044,-0.0017,0.0392,0.0147,0.0,0.0,0.0165,0.0792,0.2711,0.0074,0.008,0.002,-0.0037,-0.0275,-0.007,0.0052,0.0,0.0243,-0.0001,-0.0003,0.0023,0.0,0.0,0.0
2026-07-15,1340.0,1410.0,1330.0,1355.0,654300,-0.0539,0.0124,-0.0007,-0.0107,0.0103,0.1205,0.4841,0.0004,0.0003,0.0052,0.0004,-0.0014,0.0,0.0,-0.53,0.0016,0.0028,0.0,-0.0006,-0.0293,-0.0263,-0.0008,0.025,-0.0004,-0.0072,0.0,0.0004,0.0,-0.0024,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1290.0,1410.0,1290.0,1410.0,685000,0.0601,0.002,0.0003,-0.005,0.0,-0.0054,0.0,0.0019,0.008,0.0,0.0,0.0027,0.0,0.0,-0.6787,0.679,-0.0074,-0.0064,0.0004,0.0055,0.0052,-0.0102,0.0019,0.0013,0.005,-0.0032,-0.0573,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1270.0,1330.0,1240.0,1240.0,374700,0.0856,0.0177,0.0013,-0.0242,0.0004,-0.0634,-0.0508,0.0004,0.0173,-0.0003,0.0001,0.0117,-0.0108,0.0013,0.0001,0.0022,-0.0314,-0.0114,0.0001,-0.039,-0.0205,0.0328,0.0039,0.0778,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1270.0,1310.0,1260.0,1260.0,304900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1260.0,1275.0,1230.0,1265.0,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1270.0,1330.0,1220.0,1260.0,820900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1250.0,1275.0,1225.0,1270.0,728500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1170.0,1250.0,1150.0,1250.0,553000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
