Date,Close,High,Low,Open,Volume,HD,XL,PD,YU,EP,BB,XC,RB,SQ,MG,LS,CP,CD,LG,TP,HP,KI,RG,RO,DX,XA,SS,YB,GR,CC,IF,RX,KK,DH,AZ,NI,BQ,BK,AG,KZ,AI,AT,RF,ZP,AK,YP,AR,OD,DR,IU,SF,BS,YJ,IT,MI,QA,EL,ES,SH,BR,AO,FS
2026-07-13,25900.0,25900.0,24575.0,24750.0,5522400,0.0,-6.1,-0.6557,-9.7,0.0,-1.1,-0.2298,0.0,-1.9,-0.2084,0.0,-3.1,-0.774,-0.8686,0.0,0.0,-2.7,0.0,0.0,-4.8,0.0,0.0,0.0,-0.6356,-4.2,-0.1138,35.2,-0.4383,-0.2025,0.0,0.6288,0.0,1.8,0.0,14.8,0.0,0.0,0.0,-6.7,-1.8,-1.3,-0.1429,-2.9,-0.1923,-0.418,0.0,0.0,-0.4998,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0025,0.2849
2026-07-14,27500.0,27650.0,25600.0,25900.0,5239300,0.0176,-3.9,-1.9,22.8,-0.1495,0.0,0.4641,0.0,-2.3,0.0,0.0,-1.3,-0.1634,-3.1,0.0,0.0,0.0,0.0,0.0,9.3,-0.4508,-0.1325,-0.3666,-0.9128,1.8,-2.9,0.0,-1.1,-0.8019,-0.6361,-1.6,0.2838,-17.2,0.0,18.4,0.0,0.0,0.0,13.5,-9.7,-4.2,-0.1986,-12.4,1.0,0.0,0.0,0.0,-0.2657,-0.3605,0.0,0.0,0.0,0.0,-0.2608,-0.692,0.0,0.0
2026-07-15,27400.0,27550.0,26525.0,26725.0,3349900,0.0925,-0.9767,-1.4,-2.5,-0.1241,8.1,-1.2,0.0,-0.4939,0.0915,0.0,-0.8212,0.0,-0.1077,-1.4,0.0,-0.1095,0.0,0.0001,0.4237,0.0053,0.0,0.0376,-0.5636,-1.7,-0.0193,-8.2,-0.2766,-0.2549,-0.1121,-2.6,0.0287,1.5,0.0021,-2.0,-0.0375,-0.049,0.0,-12.0,27.9,-1.6,0.0,0.3417,0.2142,0.0,0.0,-0.0164,0.0,-0.0686,0.0027,0.0055,0.04,0.0028,0.0,0.0,0.0,0.0
2026-07-16,26925.0,27300.0,26900.0,27000.0,5460400,0.0728,1.4,0.2825,1.3,0.1135,-1.2,2.9,0.0,2.6,-0.0514,0.0135,0.0081,-0.0049,17.2,4.7,-0.0081,0.0784,0.0,0.0514,0.1457,0.0,0.0,-1.3,0.1378,-1.1,0.0081,-6.5,-0.6025,0.1265,0.1375,0.2916,0.0299,-15.9,-16.9,-5.2,0.105,-0.0081,0.0,-22.0,51.3,0.7819,0.0,-13.4,0.5243,-0.3564,0.035,-0.0135,-0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,26550.0,27100.0,26550.0,26950.0,3399300,0.0284,2.5,0.1485,3.9,0.1202,-22.4,0.4108,-0.0027,0.1605,0.0027,0.0187,-0.0217,-0.0409,15.2,0.3914,0.0349,0.0559,-0.2661,-0.0027,-0.1142,0.0353,-0.0027,0.0108,-1.6,2.2,-0.1461,-2.6,0.2507,-0.1016,0.2824,1.2,-0.0028,-7.2,0.0053,-4.4,-0.0403,-0.0189,-0.5617,2.8,9.4,0.9305,0.0027,-0.6372,-0.0262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,26200.0,26750.0,25925.0,26550.0,5489400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,26100.0,26500.0,25975.0,26500.0,4167600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,25550.0,26100.0,25500.0,26100.0,3860800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,25500.0,26175.0,25350.0,25525.0,4396900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,25500.0,25650.0,25250.0,25500.0,3622000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
